General POS,Detailed POS
VB.* CC.* NN.* DT.* NN.* CC.* NN.* CC.* CD.* PM.* CD.* CC.* NN.* NN.* RB.* CD.* CC.* JJ.* NN.* CC.* NN.* CC.* NN.* FW NN.*_PM.*,VBTS CCB NNP DTC NNP CCT NNC CCP CDB PMS CDB CCT NNP_CCP NNP RBW_CCP CDB CCT JJD_CCP NNC CCB NNP CCT NNP FW NNP_PMC
NN.*_PM.*,NNP_PMC
NN.*_PM.*,NNP_PMP
DT.* NN.* NN.* DT.* VB.* CC.* VB.* CC.* NN.* CC.* JJ.* PM.* JJ.* CC.* NN.* CC.* NN.*_PM.*,DTP NNP NNP DTC VBTS CCP VBW CCT NNP CCT JJN PMS JJN CCP NNC CCB NNC_PMP
CC.* CC.* CC.* NN.* CC.* JJ.* NN.* CC.* NN.*_PM.*,CCT CCT CCB NNC CCT JJN_CCP NNC CCB NNC_PMC
RB.* VB.* DT.* NN.* CC.* NN.* RB.* DT.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM VB.* CC.* JJ.* NN.* CC.* VB.* DT.* PR.* RB.*_PM.*,RBF VBTS DTC NNC CCB NNP RBW DTC NNC CCB NNC CCT DTP NNP NNP LM VBAF CCB JJN_CCP NNC CCT VBW DTC PRSP_CCP RBI_PMP
RB.* VB.* DT.* NN.* CC.* DT.* NN.* NN.* LM RB.* VB.* CC.* JJ.* PM.* CD.* NN.*_PM.*,RBF VBAF DTC NNP CCA DTP NNP NNP LM RBD_CCP VBW CCT JJN PMS CDB NNC_PMC
CC.* PR.* RB.* DT.* JJ.* RB.* CC.* NN.* CC.* NN.*_PM.*,CCA PRS RBI DTC JJD_CCP RBD CCB NNC CCT NNC_PMP
VB.* DT.* NN.* CC.* NN.* CC.* CD.* PM.* CD.* CC.* NN.* CC.* NN.* CC.* VB.* RB.* DT.* NN.* CC.* JJ.* RB.* VB.* DT.* NN.*_PM.*,VBTS DTC NNP CCT NNC CCP CDB PMS CDB CCT NNC CCB NNC CCT VBAF RBI DTC NNP CCT JJD RBW VBW DTC NNC_PMP
CC.*_PM.*,CCB_PMC
DT.* NN.* LM VB.* CC.* PR.* RB.* PM.* CD.* CC.* NN.* CC.* NN.*_PM.*,DTP NNP LM VBTS CCT PRSP_CCP RBI_CCP PMS CDB CCP NNC CCT NNC_PMC
CC.* VB.* CC.* DT.* NN.* RB.* DT.* NN.* NN.* CC.* PR.* JJ.* RB.* DT.* NN.* NN.* CC.* VB.* CC.* NN.* CC.* NN.*_PM.*,CCP VBOF CCB DTCP NNC RBL DTP NNP NNP CCA PRI_CCP JJN RBW DTP NNP NNP CCP VBTS CCT NNC CCB NNP_PMP
RB.* JJ.* NN.* CC.* NN.* NN.* CC.* VB.* NN.* CC.* JJ.*_PM.*,RBW_CCP JJN_CCP NNC CCT NNP_CCP NNP CCP VBH NNC CCP JJN_PMC
VB.* CC.* NN.* DT.* PR.* JJ.* CC.* NN.* CC.* VB.* NN.* RB.* JJ.* PM.* CD.* CC.* NN.*_PM.*,VBTS_VBOF CCB NNP DTC PRI_CCP JJD CCP NNC CCT VBTR_VBAF_CCP NNP RBW_CCP JJN PMS CDB CCB NNP_PMP
VB.* CC.* NN.* DT.* NN.* NN.* CC.* VB.* NN.* CC.* CD.*_PM.*,VBTS CCT NNC DTC NNP NNP CCP VBH NNC CCP CDB_PMC
CC.* JJ.* JJ.* CC.* NN.* RB.* PR.* NN.*_PM.*,CCP JJCC JJD CCT NNP RBW PRQ_CCP NNC_PMP
RB.* NN.* CC.* NN.* DT.* NN.* CC.* VB.* NN.*_PM.*,RBL NNC CCB NNC DTC NNP CCP VBN_CCP NNC_PMC
JJ.* DT.* NN.* CC.* VB.* PR.* NN.*_PM.*,JJD DTC NNP CCP VBH PRI_CCP NNC_PMP
DT.* PR.* JJ.* CC.* NN.* CC.* CD.* NN.* NN.* VB.* CC.* NN.* CC.* VB.* PM.* FW CC.*_PM.* VB.* CC.* NN.*_PM.* CC.* VB.* CC.* PR.* FW CC.* NN.* LM VB.* CC.* NN.*_PM.*,DTC PRQ_CCP JJD CCP NNC CCB CDB NNC_CCP NNP_CCP VBTR CCB NNC CCP VBTS PMS FW CCT_PMS VBW CCB NNC_PMS CCP VBTR CCB PRSP_CCP FW CCB NNC LM VBTS CCT NNP_PMC
CC.* NN.*_PM.*,CCT NNPA_PMP
