,Hybrid_N-Gram,Frequency
45540,PMS_ DTC NNC LM,6519.0
31434,NNC CCB FW LM,4956.0
59906,VOF_CCP NNC_PMPB,4611.0
33454,NNC CCP FW LM,3558.0
45603,PMS_ PRI_CCP NNC,3320.0
45584,PMS_ LM VBTS,3217.0
17190,DTC FW NNC LM,3216.0
34986,NNC CCT FW LM,3184.0
45578,PMS_ DTP NNP LM,3150.0
25920,JJD_CCP FW LM,3112.0
23784,FW CCT NNC LM,3052.0
23910,FW JJD_CCP NNC,3005.0
27742,LM JJD_CCP NNC,3005.0
27792,LM NNC CCB NNP,2933.0
27843,LM PRI_CCP FW,2852.0
23913,FW LM DTC NNC,2813.0
45514,PMS_ DTC DTCP NNC,2770.0
7458,CCP NNC CCB FW,2624.0
23927,FW LM PRI_CCP,2499.0
23877,FW FW CCT NNC CCB,2480.0
26464,JJD_CCP NNC FW FW,2480.0
45517,PMS_ DTC DTCP NNC LM,2461.0
46160,PRI_CCP FW LM,2378.0
23926,FW LM NNC_CCP,2331.0
16483,DTC DTCP FW LM,2295.0
12409,CCT NNC CCB FW,2292.0
26463,JJD_CCP NNC FW,2233.0
26476,JJD_CCP NNC LM,2233.0
45530,PMS_ DTC NNC CCB,2229.0
23600,FW CCB NNP LM,2221.0
7463,CCP NNC CCB FW LM,2211.0
7461,CCP NNC CCB FW FW,2211.0
4934,CCB NNP FW LM,2161.0
4962,CCB NNP LM FW,2161.0
23671,FW CCP NNC LM,2142.0
12421,CCT NNC CCB FW LM,2064.0
12417,CCT NNC CCB FW FW,2064.0
23920,FW LM JJD CCP,1930.0
23581,FW CCB NNC LM,1868.0
24105,FW PRI_CCP NNC,1845.0
27866,LM PRI_CCP NNC,1845.0
27518,LM CCT NNC CCB,1810.0
23768,FW CCT NNC CCB,1810.0
32564,NNC CCB NNP FW FW,1776.0
32567,NNC CCB NNP FW LM,1776.0
45507,PMS_ CCT NNC,1761.0
29854,LM VBTS CCT FW,1758.0
29857,LM VBTS CCT FW FW,1667.0
7170,CCP FW CCT NNC,1644.0
7952,CCP NNC LM NNP,1637.0
48428,PRSP_CCP FW FW LM,1617.0
23985,FW LM VBTS CCT,1613.0
29501,LM VBTS CCB FW,1612.0
38903,NNC_CCP FW LM,1591.0
48430,PRSP_CCP FW LM,1569.0
32588,NNC CCB NNP LM,1522.0
32561,NNC CCB NNP FW,1522.0
27676,LM JJD CCP NNC,1519.0
29503,LM VBTS CCB FW FW,1517.0
45568,PMS_ DTC PRSP_CCP,1514.0
16809,DTC DTCP NNC LM,1492.0
40549,NNP CCP FW LM,1484.0
17837,DTC NNC CCB FW FW,1483.0
17840,DTC NNC CCB FW LM,1483.0
27609,LM FW PMS NNC,1435.0
23978,FW LM VBTS CCB,1406.0
7174,CCP FW LM VBTS,1405.0
6579,CCP DTC FW LM,1382.0
45557,PMS_ DTC NNP LM,1364.0
46739,PRI_CCP NNC LM,1336.0
27021,JJN_CCP FW LM,1274.0
27808,LM NNC CCT NNP,1260.0
24013,FW NNC CCT NNP,1260.0
27772,LM JJN_CCP NNC,1259.0
23912,FW JJN_CCP NNC,1259.0
7166,CCP FW CCB NNP,1258.0
30666,NNC CCA FW LM,1242.0
17831,DTC NNC CCB FW,1167.0
24042,FW NNP LM VBTS,1158.0
45580,PMS_ JJD_CCP,1158.0
25154,JJD CCP NNC LM,1124.0
27536,LM DTC DTCP NNC,1115.0
23823,FW DTC DTCP NNC,1115.0
23564,FW CCB DTCP NNC,1101.0
23874,FW FW CCT DTCP NNC,1095.0
45528,PMS_ DTC NNC,1092.0
14332,CCT PRI_CCP FW,1081.0
23855,FW FW CCB NNC CCT,1070.0
27560,LM DTC NNC CCB,1058.0
23828,FW DTC NNC CCB,1058.0
11642,CCT FW CCB NNP,1052.0
45521,PMS_ DTC JJD,1051.0
23946,FW LM VBOF DTC,1047.0
27589,LM DTCP NNC CCB,1046.0
45524,PMS_ DTC JJD_CCP,1011.0
45692,PMS_ VBTS CCB NNC,997.0
21112,DTCP NNC CCB FW LM,994.0
23746,FW CCT DTCP NNC,991.0
45537,PMS_ DTC NNC CCT,981.0
25910,JJD_CCP FW CCB,965.0
2104,CCB DTCP NNC LM,960.0
28472,LM VBAF CCT FW,948.0
23888,FW FW CCT PRI_CCP,941.0
27525,LM CCT PRI_CCP,939.0
23806,FW CCT PRI_CCP,939.0
14338,CCT PRI_CCP FW FW,904.0
6965,CCP DTCP NNC LM,895.0
7178,CCP FW NNC CCT,877.0
7171,CCP FW FW CCT NNC,877.0
23943,FW LM VBAF CCT,871.0
26002,JJD_CCP NNC CCB,869.0
3649,CCB NNC CCT FW,851.0
12646,CCT NNC CCB NNP,848.0
26018,JJD_CCP NNC CCB FW,845.0
29721,LM VBTS CCP FW,842.0
45571,PMS_ DTC PRSP_CCP NNC,841.0
27783,LM NNC CCB DTCP,839.0
23973,FW LM VBTR_VBAF,838.0
27593,LM DTCP NNC CCP,835.0
7942,CCP NNC LM DTC,835.0
