DetailedPOS_N-Gram,Frequency
JJD_CCP NNC CCB,809
CCT NNC CCB NNP,597
JJD_CCP NNC CCT,564
CCT PRI_CCP NNC,554
DTC JJD_CCP NNC,443
DTC DTCP NNC CCB,440
PRI_CCP NNC CCB,437
CCB JJD_CCP NNC,429
CCT JJD_CCP NNC,398
DTC PRSP_CCP NNC,394
DTC NNC CCB NNP,392
PRI_CCP NNC CCT,382
DTC DTCP NNC LM,368
CCT DTCP NNC CCB,361
JJD CCP NNC CCB,356
DTC NNC LM VBTS,338
NNP LM VBTS CCB,336
CCT PRSP_CCP NNC,323
CCB PRI_CCP NNC,316
JJD CCP NNC CCT,306
NNC LM VBTS CCT,296
PRSP_CCP NNC CCT,293
VBTS CCT NNC CCB,289
NNC CCB NNP_PMC,287
DTCP JJD_CCP NNC,283
DTCP NNC CCB NNP,280
NNC CCB JJD_CCP,279
NNC CCT PRI_CCP,278
CCT NNC CCB DTCP,277
NNC CCP DTP NNP,275
JJD_CCP NNC_PMP,275
NNC CCB NNP CCP,272
CCB DTCP NNC CCP,269
CCB DTCP NNC CCT,266
NNC CCB NNP LM,264
JJN_CCP NNC CCB,255
CCP DTP NNP NNP LM,255
NNC CCB NNP_PMP,254
NNC CCB NNP CCT,248
CCB NNP CCP DTP,238
DTC DTCP NNC CCT,236
NNC LM VBTS CCB,236
NNP CCT NNC CCB,235
JJD_CCP NNC_PMC,231
NNC CCB PRI_CCP,230
JJD_CCP NNC CCB NNC,228
CCB NNP CCP DTP NNP,228
LM VBTS CCT NNC,225
LM VBTS CCB NNC,223
DTP NNP NNP LM VBTS,216
NNP LM VBTS CCT,215
CCB JJD CCP NNC,214
NNP LM VBTS CCP,214
CCP DTC NNC LM,213
JJD_CCP NNC LM,212
DTC PRI_CCP NNC,210
CCT JJN_CCP NNC,210
DTC DTCP NNC CCP,209
CCT DTCP NNC CCP,209
NNC CCT JJD_CCP,208
NNC CCP VBTS CCT,206
CCB JJN_CCP NNC,204
NNC CCB NNP CCA,198
CCT JJD CCP NNC,198
PRI_CCP JJD_CCP NNC,197
NNC CCT NNC CCB NNP,196
CCP DTP NNP NNP_PMC,193
DTC JJN_CCP NNC,189
VBTS CCB DTCP NNC,187
NNC CCT PRSP_CCP,186
DTC JJD CCP NNC,184
CCT JJD_CCP NNC CCB,181
NNC CCB PRSP_CCP,179
PRSP_CCP DTCP NNC,179
CCB PRSP_CCP NNC,177
NNC CCP DTP NNP NNP,175
DTCP NNC LM VBTS,174
DTC JJD_CCP NNC CCB,171
CCB NNP LM VBTS,170
DTP NNP LM VBTS,169
DTC NNC CCB DTCP,169
LM VBTS CCP DTC,169
CCB NNC CCT NNP,168
DTC DTCP NNC CCB NNC,167
NNC CCT NNP_PMC,164
JJD_CCP NNC CCT NNC,164
VBOF DTC NNC CCB,164
JJCS_JJD_CCP NNC,162
DTC NNC CCB NNC LM,161
CCT DTCP NNC_CCP,161
DTC DTCP NNC_CCP,160
CCP DTC NNC CCB,160
CCP DTC DTCP NNC,158
NNC CCB JJD_CCP NNC,155
JJN_CCP NNC CCT,154
PRI_CCP NNC CCB NNC,154
CCB NNP CCP DTP NNP NNP,153
NNP CCP DTP NNP NNP LM,151
CCT NNC CCB NNC_PMP,151
NNC CCP VBTR CCB,149
RBW_CCP JJN PMS,148
JJD_CCP NNC CCB NNP,147
CCB NNC LM VBTS,147
NNC CCB JJD CCP,145
CCP DTP NNP NNP LM VBTS,144
CCB DTCP NNC_CCP,143
CCT NNC CCB DTCP NNC,143
VBTS CCB PRI_CCP,142
CCP NNC CCB NNP,141
RBW_CCP JJN PMS CDB,140
VBTS CCT PRI_CCP,139
VBTS CCB NNC CCT,139
PRSP_CCP NNC_PMP,138
NNC CCT PRI_CCP NNC,138
DTC PRSP_CCP DTCP,135
JJD CCT NNC CCB,134
CCT PRI_CCP NNC CCT,134
NNC CCB JJN_CCP,133
CCT NNC CCB NNC_PMC,133
NNC RBW_CCP NNP,132
JJD CCP NNC_PMP,131
NNC CCT NNP_PMP,131
PRI_CCP NNC_PMC,131
PRSP_CCP NNC LM,131
VBOF DTC DTCP NNC,130
RBR CCT NNC CCB,130
NNP CCB NNP CCP DTP,130
PRI_CCP NNC_PMP,129
CCT NNC CCB NNP NNP,128
DTC NNC CCB NNC CCT,127
LM VBTS RBW_CCP,126
NNP CCB NNP CCP DTP NNP,126
NNC CCB NNC LM VBTS,124
CCB JJD_CCP NNC CCB,124
CCB JJD_CCP NNC CCT,123
NNC CCB DTCP NNC CCT,123
LM VBTS PMS NNC,123
NNC CCP VBTS CCB,123
JJD CCP NNC_PMC,122
DTCP JJD CCP NNC,122
CCT PRI_CCP NNC CCP,121
VBAF CCT NNC CCB,121
CCT DTCP JJD_CCP,120
NNC LM VBTS CCP,120
JJD_CCP NNC CCA,120
CCT PRI_CCP NNC CCB,120
DTC NNP LM VBTS,119
NNC DTC VBTS CCT,118
JJD_CCP DTCP NNC,118
LM VBTS CCT NNC CCB,118
DTC PRSP_CCP NNC CCT,117
DTCP NNC CCT NNP,116
DTC NNC CCT NNC CCB,115
VBTR CCB DTCP NNC,115
DTCP NNC CCP VBTS,115
DTC DTCP JJD_CCP,115
NNP NNP LM VBTS CCB,115
CCP VBTS CCT NNC,115
NNC CCB NNC CCT NNP,114
NNP LM VBAF CCT,114
CCB DTCP JJD_CCP,112
VBOF DTC PRSP_CCP,112
NNC CCB PRI_CCP NNC,111
VBTS CCB JJD_CCP,111
CCP VBOF DTC NNC,111
CCB NNC CCT DTCP,110
PRSP_CCP NNC_PMC,110
DTCP NNC CCT NNC CCB,110
NNC CCP VBTR_VBAF,109
VBTS DTP NNP CCP,108
NNC CCT JJD_CCP NNC,108
JJN PMS CDB CCB,107
JJN_CCP NNC_PMC,107
CCT PRSP_CCP NNC CCT,107
NNP NNP LM VBTS CCP,106
NNC CCP VBTR CCT,106
DTC NNC DTP NNP,106
CCB NNC RBL CCT,106
NNC LM VBTR CCB,104
PRI_CCP NNC CCT NNC,104
NNC CCB DTCP NNC CCP,103
CCP VBTR_VBAF CCT,102
LM VBAF CCT NNC,102
NNC CCP PRO LM,102
PRI_CCP JJD CCP NNC,102
VBOF DTC NNC CCT,102
DTC DTCP NNC LM VBTS,102
RBL CCT NNC CCB,102
CCT DTCP NNC CCB NNC,102
CCB DTCP NNC_PMP,101
CCT PRSP_CCP DTCP,101
NNC LM VBAF CCT,100
NNC RBL CCT NNP,100
DTCP NNC RBL CCT,99
VBTS CCB NNC CCP,99
DTC PRSP_CCP NNC LM,99
CDB CCP NNC CCT,99
NNC LM RBD_CCP,98
JJD CCP NNC CCB NNC,98
CCR PMS NNC CCB,98
DTC NNC CCB DTCP NNC,97
CCT NNP RBW_CCP,97
VBTS CCP DTC NNC,97
NNC CCT JJD CCP,96
NNC CCT DTCP NNC CCB,96
NNC CCB NNP_CCP,96
NNC CCP VBOF DTC,96
DTC NNC LM VBTS CCT,95
CCB NNP CCT NNC,95
RBW_CCP NNP_PMC,95
CDB CCP DTCP NNC,95
NNP LM VBTS CCB NNC,94
CCT DTCP NNC_PMP,94
DTCP NNC CCB NNC CCT,94
NNC_CCP PRO LM,94
LM VBTR_VBAF CCT,94
CCT NNC DTP NNP,93
JJD CCP DTCP NNC,93
PRI RBI_CCP NNC,93
DTC DTCP NNC CCB NNP,93
JJD CCP NNC LM,93
NNC CCT NNC CCB DTCP,92
PRI_CCP NNC LM,92
CCB DTCP NNC DTC,92
NNC_CCP JJD CCB,91
DTC NNC LM VBTR,91
NNC CCB NNP CCP DTP,91
JJD_CCP NNC CCT NNC CCB,91
CCP NNC CCT NNC CCB,91
NNC CCT NNP CCB,91
CCB NNC RBW_CCP,90
CCA DTC NNC CCB,90
DTC NNC CCB NNP LM,90
RBW_CCP CDB_PMC,90
NNC CCP VBAF CCT,90
CCT NNC CCB NNP CCA,90
VBTR CCT NNC CCB,90
CCB DTCP NNC_PMC,90
DTC NNC CCB NNP NNP,90
VBW CCT NNC CCB,89
NNP LM VBTS CCP DTC,89
JJD CCP NNC CCT NNC,89
NNP NNP LM VBTS CCT,88
NNC CCT NNP LM,88
VBTS RBW_CCP NNP,88
JJD CCP NNC CCA,87
CCP NNC CCB DTCP,87
NNC_CCP JJD CCT,87
NNC LM VBTR CCP,87
NNC CCB NNP LM VBTS,87
CCB DTCP NNC CCA,87
NNP CCP DTP NNP NNP LM VBTS,87
CCT NNC RBW_CCP,87
NNC CCB NNP NNP_PMC,87
LM VBTS CCT NNP,86
PRSP_CCP NNC CCT NNC,86
NNP CCB NNP CCP DTP NNP NNP,86
NNC CCB NNP CCP DTP NNP,86
CCB DTCP NNC CCB NNP,86
JJN_CCP NNC DTC,85
PRI_CCP DTCP NNC,85
DTCP NNC_CCP JJD,85
NNP CCP DTC NNC,85
CCR PMS NNC CCT,84
VBTR_VBAF CCT NNC,84
CCT NNC CCB JJD_CCP,84
NNC LM VBTS CCT NNC,84
PRI_CCP NNC DTC,84
CCT NNC CCB CDB,84
CCT JJD CCB NNC,84
DTC NNC CCB NNC CCP,83
RBW_CCP NNC CCB,83
CCB NNC CCP VBTS,83
DTC JJCS_JJD_CCP,83
DTC PRSP_CCP DTCP NNC,83
CCB NNC_CCP JJD,83
CCP DTP NNP NNP_PMP,82
CCB PRI_CCP NNC CCT,82
DTC JJD_CCP NNC LM,82
JJCS_JJD CCP NNC,82
DTC NNC LM VBAF,81
NNP CCT PRI_CCP,81
JJD_CCP NNC CCT CCT,81
DTCP NNC CCB NNC LM,81
CCT NNC CCB NNP_PMP,80
CCB NNC CCP DTP,80
CCT JJN PMS CDB,80
PMS CDB CCB NNP,80
NNC CCB NNP DTC,80
PRSP_CCP NNC CCA,80
CCT DTCP NNC_PMC,80
VBW CCB NNC CCT,80
VBTS DTC NNC CCB,80
NNC CCB DTCP NNC_CCP,80
CCT NNC CCB NNC CCP,79
NNP LM VBTS DTC,79
DTCP NNC LM VBTR,79
RBW_CCP CDB_PMP,79
RBW_CCP NNP CCB,79
VBW DTC NNC CCB,78
VBTS DTP NNP NNP_PMC,78
JJN PMS CDB CCB NNP,78
VBTS CCB JJD_CCP NNC,77
VBTS CCT NNC CCB NNC,77
DTC DTCP JJD_CCP NNC,77
DTCP NNC CCP VBTR,77
CCB NNC CCP VBTR,77
VBTS CCB PRI_CCP NNC,77
CCT NNC CCB JJN_CCP,77
CCB NNC CCP DTP NNP,77
CCT NNC CCB NNP CCT,77
CCT PRI_CCP JJD,76
VBW CCB DTCP NNC,76
CCT JJD CCP NNC CCB,76
JJN_CCP NNC CCB NNC,76
CCP DTC DTCP NNC LM,76
VBTS CCB JJN_CCP,76
VBTS CCT DTCP NNC,76
JJN_CCP NNC_PMP,75
CCP VBTR CCB NNC,75
RBW_CCP NNP_PMP,75
CCB NNP RBW_CCP,75
VBTS DTP NNP DTC,75
VBTS DTC DTCP NNC,75
DTC NNC LM VBTS CCB,75
NNC CCB VBOF DTC,74
VBTF CCT NNC CCB,74
VBTS CCT PRSP_CCP,74
CCT JJN_CCP NNC CCB,74
NNC CCB JJN_CCP NNC,74
CCT NNC CCB PRSP_CCP,74
CCB PRI_CCP NNC CCB,74
LM VBTS CCT PRI_CCP,73
CCB NNP CCP DTP NNP NNP LM,73
NNP LM RBD_CCP,73
NNC LM VBTR_VBAF,73
NNC CCB NNP NNP CCP,73
CCT NNC CCB NNP_PMC,73
CCT NNC CCB FW,73
NNC CCT NNP CCP,73
LM VBTS CCB NNC CCT,73
DTCP NNC CCB NNC CCP,72
NNC DTP NNP_PMC,72
NNP DTC NNC CCB,72
CCT DTCP NNC CCA,72
CCB DTCP JJD_CCP NNC,72
CCT CCR PMS NNC,72
DTP NNP CCP DTC,72
CCB DTCP NNC LM,72
CCA DTC DTCP NNC,72
LM VBTS CCP DTC NNC,72
JJD_CCP NNC DTC,72
LM VBTS DTC NNC,71
NNC CCB JJD CCP NNC,71
CCT NNC_CCP JJD,71
LM VBTR CCP DTC,71
DTC NNC CCT NNP,71
RBW_CCP NNP CDB_PMC,70
CCP VBTS CCT NNP,70
CCT NNC CCP VBTS,70
CCT NNP LM VBTS,70
CCT NNC CCB PRI_CCP,70
VBTS CCT PRI_CCP NNC,70
PRSP_CCP NNC CCB,70
LM VBTS CCB DTCP,70
CCP NNC CCT NNP,70
NNP LM VBTS PMS,70
CCB NNP DTC NNC,69
DTC VBTS CCT NNC,69
VBAF CCB NNC CCT,69
NNP LM VBTR_VBAF,69
VBTS CCT NNC CCP,69
JJCC JJD_CCP NNC,68
JJD_CCP NNC LM VBTS,68
NNP CCP DTP NNP NNP_PMC,68
CCT NNC CCB NNC CCA,68
CCT DTCP JJD_CCP NNC,68
NNC CCT JJN_CCP,68
DTCP NNC CCP DTC,68
NNP DTC PRSP_CCP,67
NNP CCB NNP LM VBTS,67
