Pattern_ID,RoughPOS_N-Gram,RPOSN_Freq,DetailedPOS_N-Gram,DPOSN_Freq,Comparison_Replacement_Matrix,POS_N-Gram
400001,VB.* PR.* CC.* NN.*,9,,,,VB.* PR.* CC.* NN.*
400002,PR.* CC.* NN.* RB.*,2,,,,PR.* CC.* NN.* RB.*
400003,CC.* NN.* RB.* CC.*,3,,,,CC.* NN.* RB.* CC.*
400004,CC.* PR.* VB.* CC.*,2,,,,CC.* PR.* VB.* CC.*
400005,PR.* VB.* CC.* NN.*,2,,,,PR.* VB.* CC.* NN.*
400006,RB.* RB.* DT.* NN.*,3,,,,RB.* RB.* DT.* NN.*
400007,CC.* NN.* CC.* DT.*,8,,,,CC.* NN.* CC.* DT.*
400008,CC.* DT.* NN.* VB.*,3,,,,CC.* DT.* NN.* VB.*
400009,DT.* NN.* VB.* RB.*,2,,,,DT.* NN.* VB.* RB.*
400010,NN.* VB.* RB.* CC.*,2,,,,NN.* VB.* RB.* CC.*
400011,VB.* RB.* CC.* DT.*,3,,,,VB.* RB.* CC.* DT.*
400012,RB.* CC.* DT.* NN.*,3,,,,RB.* CC.* DT.* NN.*
400013,DT.* NN.* CC.* RB.*,2,,,,DT.* NN.* CC.* RB.*
400014,JJ.* CC.* VB.* DT.*,2,,,,JJ.* CC.* VB.* DT.*
400015,VB.* DT.* DT.* NN.*,5,,,,VB.* DT.* DT.* NN.*
400016,DT.* DT.* NN.* CC.*,5,,,,DT.* DT.* NN.* CC.*
400017,DT.* NN.* CC.* PR.*,12,,,,DT.* NN.* CC.* PR.*
400018,NN.* CC.* PR.* NN.*,6,,,,NN.* CC.* PR.* NN.*
400019,CC.* PR.* NN.* CC.*,4,,,,CC.* PR.* NN.* CC.*
400020,NN.* NN.* CC.* VB.*,2,,,,NN.* NN.* CC.* VB.*
400021,NN.* CC.* VB.* CC.*,11,,,,NN.* CC.* VB.* CC.*
400022,CC.* VB.* CC.* DT.*,6,,,,CC.* VB.* CC.* DT.*
400023,VB.* CC.* DT.* NN.*,17,,,,VB.* CC.* DT.* NN.*
400024,CC.* DT.* NN.* CC.*,13,,,,CC.* DT.* NN.* CC.*
400025,RB.* RB.* VB.* DT.*,8,,,,RB.* RB.* VB.* DT.*
400026,RB.* VB.* DT.* DT.*,5,,,,RB.* VB.* DT.* DT.*
400027,CC.* PR.* RB.* DT.*,2,,,,CC.* PR.* RB.* DT.*
400028,RB.* CC.* RB.* VB.*,2,,,,RB.* CC.* RB.* VB.*
400029,CC.* RB.* VB.* DT.*,4,,,,CC.* RB.* VB.* DT.*
400030,RB.* VB.* DT.* PR.*,2,,,,RB.* VB.* DT.* PR.*
400031,VB.* DT.* PR.* CC.*,3,,,,VB.* DT.* PR.* CC.*
400032,PR.* CC.* NN.* CC.*,3,,,,PR.* CC.* NN.* CC.*
400033,CC.* NN.* CC.* VB.*,8,,,,CC.* NN.* CC.* VB.*
400034,CC.* VB.* CC.* JJ.*,3,,,,CC.* VB.* CC.* JJ.*
400035,VB.* CC.* JJ.* VB.*,2,,,,VB.* CC.* JJ.* VB.*
400036,CC.* JJ.* VB.* CC.*,3,,,,CC.* JJ.* VB.* CC.*
400037,RB.* RB.* CC.* PR.*,2,,,,RB.* RB.* CC.* PR.*
400038,RB.* CC.* PR.* NN.*,2,,,,RB.* CC.* PR.* NN.*
400039,DT.* VB.* CC.* DT.*,3,,,,DT.* VB.* CC.* DT.*
400040,CC.* DT.* NN.* LM,5,,,,CC.* DT.* NN.* LM
400041,CC.* VB.* PR.* PR.*,2,,,,CC.* VB.* PR.* PR.*
400042,CC.* PR.* DT.* NN.*,10,,,,CC.* PR.* DT.* NN.*
400043,PR.* DT.* NN.* JJ.*,2,,,,PR.* DT.* NN.* JJ.*
400044,DT.* NN.* JJ.* CC.*,2,,,,DT.* NN.* JJ.* CC.*
400045,CC.* VB.* CC.* NN.*,4,,,,CC.* VB.* CC.* NN.*
400046,NN.* DT.* VB.* CC.*,4,,,,NN.* DT.* VB.* CC.*
400047,VB.* CC.* NN.* JJ.*,2,,,,VB.* CC.* NN.* JJ.*
