N-Gram_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,N-Gram,Lemma_N-Gram
000019,VB.* PR.* CC.* NN.* RB.* CC.*,VBN PRS CCT NNC RBW CCR,wala ako sa katinuan ngayon kasi,wala ako sa tino gayon kasi
000020,PR.* CC.* NN.* RB.* CC.* CC.*,PRS CCT NNC RBW CCR CCT,ako sa katinuan ngayon kasi para,ako sa tino gayon kasi para
000021,CC.* NN.* RB.* CC.* CC.* PR.*,CCT NNC RBW CCR CCT PRS_CCP,sa katinuan ngayon kasi para akong,sa tino gayon kasi para ako
000022,NN.* RB.* CC.* CC.* PR.* VB.*,NNC RBW CCR CCT PRS_CCP VBTS,katinuan ngayon kasi para akong nakawalang,tino gayon kasi para ako wala
000023,RB.* CC.* CC.* PR.* VB.* CC.*,RBW CCR CCT PRS_CCP VBTS CCT,ngayon kasi para akong nakawalang sa,gayon kasi para ako wala sa
000024,CC.* CC.* PR.* VB.* CC.* NN.*,CCR CCT PRS_CCP VBTS CCT NNC,kasi para akong nakawalang sa hawla.,kasi para ako wala sa hawla
000056,RB.* RB.* DT.* NN.* NN.* LM,RBK RBQ DTC NNC NNC LM,Kung ano ang kapaligiran kadahilanan ay,kung ano ang ligid dahil ay
000057,RB.* DT.* NN.* NN.* LM JJ.*,RBQ DTC NNC NNC LM JJD,ano ang kapaligiran kadahilanan ay partikular,ano ang ligid dahil ay partikular
000058,DT.* NN.* NN.* LM JJ.* CC.*,DTC NNC NNC LM JJD CCP,ang kapaligiran kadahilanan ay partikular na,ang ligid dahil ay partikular na
000059,NN.* NN.* LM JJ.* CC.* JJ.*,NNC NNC LM JJD CCP JJD,kapaligiran kadahilanan ay partikular na mahalaga,ligid dahil ay partikular na halaga
000060,NN.* LM JJ.* CC.* JJ.* CC.*,NNC LM JJD CCP JJD CCT,kadahilanan ay partikular na mahalaga para,dahil ay partikular na halaga para
000061,LM JJ.* CC.* JJ.* CC.* CC.*,LM JJD CCP JJD CCT CCT,ay partikular na mahalaga para sa,ay partikular na halaga para sa
000062,JJ.* CC.* JJ.* CC.* CC.* NN.*,JJD CCP JJD CCT CCT NNC,partikular na mahalaga para sa buhay,partikular na halaga para sa buhay
000063,CC.* JJ.* CC.* CC.* NN.* CC.*,CCP JJD CCT CCT NNC CCB,na mahalaga para sa buhay ng,na halaga para sa buhay ng
000064,JJ.* CC.* CC.* NN.* CC.* DT.*,JJD CCT CCT NNC CCB DTCP,mahalaga para sa buhay ng mga,halaga para sa buhay ng mga
000065,CC.* CC.* NN.* CC.* DT.* NN.*,CCT CCT NNC CCB DTCP NNC,para sa buhay ng mga parasito,para sa buhay ng mga parasito
000066,CC.* NN.* CC.* DT.* NN.* VB.*,CCT NNC CCB DTCP NNC VBTR,sa buhay ng mga parasito aalala,sa buhay ng mga parasito alala
000067,NN.* CC.* DT.* NN.* VB.* RB.*,NNC CCB DTCP NNC VBTR RBR,buhay ng mga parasito aalala tungkol,buhay ng mga parasito alala tungkol
000068,CC.* DT.* NN.* VB.* RB.* CC.*,CCB DTCP NNC VBTR RBR CCT,ng mga parasito aalala tungkol sa,ng mga parasito alala tungkol sa
000069,DT.* NN.* VB.* RB.* CC.* DT.*,DTCP NNC VBTR RBR CCT DTCP,mga parasito aalala tungkol sa mga,mga parasito alala tungkol sa mga
000070,NN.* VB.* RB.* CC.* DT.* NN.*,NNC VBTR RBR CCT DTCP NNC,parasito aalala tungkol sa mga uod,parasito alala tungkol sa mga uod
000071,VB.* RB.* CC.* DT.* NN.* CC.*,VBTR RBR CCT DTCP NNC CCT,aalala tungkol sa mga uod sa,alala tungkol sa mga uod sa
000072,RB.* CC.* DT.* NN.* CC.* RB.*,RBR CCT DTCP NNC CCT RBW,tungkol sa mga uod sa gabi,tungkol sa mga uod sa gabi
000105,JJ.* CC.* VB.* DT.* DT.* NN.*,JJC CCB VBOF DTC DTCP NNC,kaysa upang dalhin ang mga uod,kaysa upa dalhin ang mga uod
000106,CC.* VB.* DT.* DT.* NN.* CC.*,CCB VBOF DTC DTCP NNC CCT,upang dalhin ang mga uod sa,upa dalhin ang mga uod sa
000107,VB.* DT.* DT.* NN.* CC.* PR.*,VBOF DTC DTCP NNC CCT PRI_CCP,dalhin ang mga uod sa isang,dalhin ang mga uod sa isa
000108,DT.* DT.* NN.* CC.* PR.* NN.*,DTC DTCP NNC CCT PRI_CCP NNC,ang mga uod sa isang buntis,ang mga uod sa isa buntis
000109,DT.* NN.* CC.* PR.* NN.* CC.*,DTCP NNC CCT PRI_CCP NNC CCP,mga uod sa isang buntis na,mga uod sa isa buntis na
000110,NN.* CC.* PR.* NN.* CC.* NN.*,NNC CCT PRI_CCP NNC CCP NNC,uod sa isang buntis na babae,uod sa isa buntis na babae
000111,CC.* PR.* NN.* CC.* NN.* NN.*,CCT PRI_CCP NNC CCP NNC NNC,sa isang buntis na babae gamot,sa isa buntis na babae gamot
000112,PR.* NN.* CC.* NN.* NN.* CC.*,PRI_CCP NNC CCP NNC NNC CCT,isang buntis na babae gamot sa,isa buntis na babae gamot sa
000136,NN.* JJ.* NN.* NN.* CC.* VB.*,NNC_CCP JJD NNC NNC CCP VBTR_VBAF,bulating parasito atay sugat na pumapatay,bulate parasito patay sugat na patay
000137,JJ.* NN.* NN.* CC.* VB.* CC.*,JJD NNC NNC CCP VBTR_VBAF CCB,parasito atay sugat na pumapatay ng,parasito patay sugat na patay ng
000138,NN.* NN.* CC.* VB.* CC.* DT.*,NNC NNC CCP VBTR_VBAF CCB DTCP,atay sugat na pumapatay ng mga,patay sugat na patay ng mga
000139,NN.* CC.* VB.* CC.* DT.* NN.*,NNC CCP VBTR_VBAF CCB DTCP NNC,sugat na pumapatay ng mga parasito,sugat na patay ng mga parasito
000140,CC.* VB.* CC.* DT.* NN.* CC.*,CCP VBTR_VBAF CCB DTCP NNC CCT,na pumapatay ng mga parasito sa,na patay ng mga parasito sa
000141,VB.* CC.* DT.* NN.* CC.* NN.*,VBTR_VBAF CCB DTCP NNC CCT NNC,pumapatay ng mga parasito sa loob,patay ng mga parasito sa loob
000142,CC.* DT.* NN.* CC.* NN.* CC.*,CCB DTCP NNC CCT NNC CCB,ng mga parasito sa loob ng,ng mga parasito sa loob ng
000143,DT.* NN.* CC.* NN.* CC.* NN.*,DTCP NNC CCT NNC CCB NNC,mga parasito sa loob ng tao.,mga parasito sa loob ng tao
000162,RB.* RB.* VB.* DT.* DT.* NN.*,RBK RBQ VBW DTC DTCP NNC,Kung paano makilala ang mga uod,kung paano kilala ang mga uod
000163,RB.* VB.* DT.* DT.* NN.* CC.*,RBQ VBW DTC DTCP NNC CCT,paano makilala ang mga uod sa,paano kilala ang mga uod sa
000164,VB.* DT.* DT.* NN.* CC.* DT.*,VBW DTC DTCP NNC CCT DTCP,makilala ang mga uod sa mga,kilala ang mga uod sa mga
000165,DT.* DT.* NN.* CC.* DT.* NN.*,DTC DTCP NNC CCT DTCP NNC,ang mga uod sa mga matatanda,ang mga uod sa mga tanda
000166,NN.* CC.* CC.* NN.* CC.* DT.*,NNC CCT CCT NNC CCB DTCP,pagsubok para sa presensiya ng mga,subok para sa presensiya ng mga
000167,CC.* CC.* NN.* CC.* DT.* NN.*,CCT CCT NNC CCB DTCP NNC,para sa presensiya ng mga parasito,para sa presensiya ng mga parasito
000180,JJ.* CC.* PR.* RB.* DT.* VB.*,JJCC CCR PRI RBI DTC VBTR,lalo pag isa lang ang ginagawa,lalo pag isa lang ang gawa
000215,RB.* CC.* RB.* VB.* DT.* PR.*,RBF CCR RBT VBW DTC PRI,Di kasi talaga matuto ang karamihan,di kasi talaga tuto ang dami
000216,CC.* RB.* VB.* DT.* PR.* CC.*,CCR RBT VBW DTC PRI CCB,kasi talaga matuto ang karamihan ng,kasi talaga tuto ang dami ng
000217,RB.* VB.* DT.* PR.* CC.* NN.*,RBT VBW DTC PRI CCB NNP,talaga matuto ang karamihan ng Pilipino,talaga tuto ang dami ng Pilipino
000218,VB.* DT.* PR.* CC.* NN.* CC.*,VBW DTC PRI CCB NNP CCP,matuto ang karamihan ng Pilipino na,tuto ang dami ng Pilipino na
000219,DT.* PR.* CC.* NN.* CC.* VB.*,DTC PRI CCB NNP CCP VBAF,ang karamihan ng Pilipino na bumoto,ang dami ng Pilipino na boto
