N-Gram_ID,N-Gram_Size,RoughPOS_N-Gram,DetailedPOS_N-Gram,N-Gram,Lemma_N-Gram
000000,3,CC.* CC.* PR.*,CCR CCT PRS_CCP,kasi para akong,kasi para akong
000001,3,CC.* PR.* VB.*,CCT PRS_CCP VBTS,para akong nakawalang,para akong nakawalang
000002,3,PR.* VB.* CC.*,PRS_CCP VBTS CCT,akong nakawalang sa,akong nakawalang sa
000003,3,VB.* CC.* NN.*_PM.*,VBTS CCT NNC_PMP,nakawalang sa hawla.,nakawalang sa hawla.
000004,4,VB.* PR.* CC.* NN.*,VBN PRS CCT NNC,wala ako sa katinuan,wala ako sa katinuan
000005,4,PR.* CC.* NN.* RB.*,PRS CCT NNC RBW,ako sa katinuan ngayon,ako sa katinuan ngayon
000006,4,CC.* NN.* RB.* CC.*,CCT NNC RBW CCR,sa katinuan ngayon kasi,sa katinuan ngayon kasi
000007,4,NN.* RB.* CC.* CC.*,NNC RBW CCR CCT,katinuan ngayon kasi para,katinuan ngayon kasi para
000008,4,RB.* CC.* CC.* PR.*,RBW CCR CCT PRS_CCP,ngayon kasi para akong,ngayon kasi para akong
000009,4,CC.* CC.* PR.* VB.*,CCR CCT PRS_CCP VBTS,kasi para akong nakawalang,kasi para akong nakawalang
000010,4,CC.* PR.* VB.* CC.*,CCT PRS_CCP VBTS CCT,para akong nakawalang sa,para akong nakawalang sa
000011,4,PR.* VB.* CC.* NN.*_PM.*,PRS_CCP VBTS CCT NNC_PMP,akong nakawalang sa hawla.,akong nakawalang sa hawla.
000012,5,VB.* PR.* CC.* NN.* RB.*,VBN PRS CCT NNC RBW,wala ako sa katinuan ngayon,wala ako sa katinuan ngayon
000013,5,PR.* CC.* NN.* RB.* CC.*,PRS CCT NNC RBW CCR,ako sa katinuan ngayon kasi,ako sa katinuan ngayon kasi
000014,5,CC.* NN.* RB.* CC.* CC.*,CCT NNC RBW CCR CCT,sa katinuan ngayon kasi para,sa katinuan ngayon kasi para
000015,5,NN.* RB.* CC.* CC.* PR.*,NNC RBW CCR CCT PRS_CCP,katinuan ngayon kasi para akong,katinuan ngayon kasi para akong
000016,5,RB.* CC.* CC.* PR.* VB.*,RBW CCR CCT PRS_CCP VBTS,ngayon kasi para akong nakawalang,ngayon kasi para akong nakawalang
000017,5,CC.* CC.* PR.* VB.* CC.*,CCR CCT PRS_CCP VBTS CCT,kasi para akong nakawalang sa,kasi para akong nakawalang sa
000018,5,CC.* PR.* VB.* CC.* NN.*_PM.*,CCT PRS_CCP VBTS CCT NNC_PMP,para akong nakawalang sa hawla.,para akong nakawalang sa hawla.
000019,6,VB.* PR.* CC.* NN.* RB.* CC.*,VBN PRS CCT NNC RBW CCR,wala ako sa katinuan ngayon kasi,wala ako sa katinuan ngayon kasi
000020,6,PR.* CC.* NN.* RB.* CC.* CC.*,PRS CCT NNC RBW CCR CCT,ako sa katinuan ngayon kasi para,ako sa katinuan ngayon kasi para
000021,6,CC.* NN.* RB.* CC.* CC.* PR.*,CCT NNC RBW CCR CCT PRS_CCP,sa katinuan ngayon kasi para akong,sa katinuan ngayon kasi para akong
000022,6,NN.* RB.* CC.* CC.* PR.* VB.*,NNC RBW CCR CCT PRS_CCP VBTS,katinuan ngayon kasi para akong nakawalang,katinuan ngayon kasi para akong nakawalang
000023,6,RB.* CC.* CC.* PR.* VB.* CC.*,RBW CCR CCT PRS_CCP VBTS CCT,ngayon kasi para akong nakawalang sa,ngayon kasi para akong nakawalang sa
000024,6,CC.* CC.* PR.* VB.* CC.* NN.*_PM.*,CCR CCT PRS_CCP VBTS CCT NNC_PMP,kasi para akong nakawalang sa hawla.,kasi para akong nakawalang sa hawla.
000025,7,VB.* PR.* CC.* NN.* RB.* CC.* CC.*,VBN PRS CCT NNC RBW CCR CCT,wala ako sa katinuan ngayon kasi para,wala ako sa katinuan ngayon kasi para
000026,7,PR.* CC.* NN.* RB.* CC.* CC.* PR.*,PRS CCT NNC RBW CCR CCT PRS_CCP,ako sa katinuan ngayon kasi para akong,ako sa katinuan ngayon kasi para akong
000027,7,CC.* NN.* RB.* CC.* CC.* PR.* VB.*,CCT NNC RBW CCR CCT PRS_CCP VBTS,sa katinuan ngayon kasi para akong nakawalang,sa katinuan ngayon kasi para akong nakawalang
000028,7,NN.* RB.* CC.* CC.* PR.* VB.* CC.*,NNC RBW CCR CCT PRS_CCP VBTS CCT,katinuan ngayon kasi para akong nakawalang sa,katinuan ngayon kasi para akong nakawalang sa
000029,7,RB.* CC.* CC.* PR.* VB.* CC.* NN.*_PM.*,RBW CCR CCT PRS_CCP VBTS CCT NNC_PMP,ngayon kasi para akong nakawalang sa hawla.,ngayon kasi para akong nakawalang sa hawla.
000030,3,NN.* CC.* RB.*_PM.*,NNC CCT RBW_PMC,"uod sa gabi,",uod sa gabi
000031,4,RB.* RB.* DT.* NN.*,RBK RBQ DTC NNC,Kung ano ang kapaligiran,Kung ano ang kapaligiran
000032,4,NN.* LM JJ.* CC.*,NNC LM JJD CCP,kadahilanan ay partikular na,kadahilanan ay partikular na
000033,4,CC.* NN.* CC.* DT.*,CCT NNC CCB DTCP,sa buhay ng mga,sa buhay ng mga
000034,4,CC.* DT.* NN.* VB.*,CCB DTCP NNC VBTR,ng mga parasito aalala,ng mga parasito aalala
000035,4,DT.* NN.* VB.* RB.*,DTCP NNC VBTR RBR,mga parasito aalala tungkol,mga parasito aalala tungkol
000036,4,NN.* VB.* RB.* CC.*,NNC VBTR RBR CCT,parasito aalala tungkol sa,parasito aalala tungkol sa
000037,4,VB.* RB.* CC.* DT.*,VBTR RBR CCT DTCP,aalala tungkol sa mga,aalala tungkol sa mga
000038,4,RB.* CC.* DT.* NN.*,RBR CCT DTCP NNC,tungkol sa mga uod,tungkol sa mga uod
000039,4,DT.* NN.* CC.* RB.*_PM.*,DTCP NNC CCT RBW_PMC,"mga uod sa gabi,",mga uod sa gabi
000040,5,RB.* RB.* DT.* NN.* NN.*,RBK RBQ DTC NNC NNC,Kung ano ang kapaligiran kadahilanan,Kung ano ang kapaligiran kadahilanan
000041,5,RB.* DT.* NN.* NN.* LM,RBQ DTC NNC NNC LM,ano ang kapaligiran kadahilanan ay,ano ang kapaligiran kadahilanan ay
000042,5,DT.* NN.* NN.* LM JJ.*,DTC NNC NNC LM JJD,ang kapaligiran kadahilanan ay partikular,ang kapaligiran kadahilanan ay partikular
000043,5,NN.* NN.* LM JJ.* CC.*,NNC NNC LM JJD CCP,kapaligiran kadahilanan ay partikular na,kapaligiran kadahilanan ay partikular na
000044,5,NN.* LM JJ.* CC.* JJ.*,NNC LM JJD CCP JJD,kadahilanan ay partikular na mahalaga,kadahilanan ay partikular na mahalaga
000045,5,LM JJ.* CC.* JJ.* CC.*,LM JJD CCP JJD CCT,ay partikular na mahalaga para,ay partikular na mahalaga para
000046,5,CC.* JJ.* CC.* CC.* NN.*,CCP JJD CCT CCT NNC,na mahalaga para sa buhay,na mahalaga para sa buhay
000047,5,JJ.* CC.* CC.* NN.* CC.*,JJD CCT CCT NNC CCB,mahalaga para sa buhay ng,mahalaga para sa buhay ng
000048,5,CC.* CC.* NN.* CC.* DT.*,CCT CCT NNC CCB DTCP,para sa buhay ng mga,para sa buhay ng mga
000049,5,CC.* NN.* CC.* DT.* NN.*,CCT NNC CCB DTCP NNC,sa buhay ng mga parasito,sa buhay ng mga parasito
000050,5,NN.* CC.* DT.* NN.* VB.*,NNC CCB DTCP NNC VBTR,buhay ng mga parasito aalala,buhay ng mga parasito aalala
000051,5,CC.* DT.* NN.* VB.* RB.*,CCB DTCP NNC VBTR RBR,ng mga parasito aalala tungkol,ng mga parasito aalala tungkol
000052,5,DT.* NN.* VB.* RB.* CC.*,DTCP NNC VBTR RBR CCT,mga parasito aalala tungkol sa,mga parasito aalala tungkol sa
000053,5,NN.* VB.* RB.* CC.* DT.*,NNC VBTR RBR CCT DTCP,parasito aalala tungkol sa mga,parasito aalala tungkol sa mga
000054,5,VB.* RB.* CC.* DT.* NN.*,VBTR RBR CCT DTCP NNC,aalala tungkol sa mga uod,aalala tungkol sa mga uod
000055,5,RB.* CC.* DT.* NN.* CC.*,RBR CCT DTCP NNC CCT,tungkol sa mga uod sa,tungkol sa mga uod sa
000056,5,CC.* DT.* NN.* CC.* RB.*_PM.*,CCT DTCP NNC CCT RBW_PMC,"sa mga uod sa gabi,",sa mga uod sa gabi
000057,6,RB.* RB.* DT.* NN.* NN.* LM,RBK RBQ DTC NNC NNC LM,Kung ano ang kapaligiran kadahilanan ay,Kung ano ang kapaligiran kadahilanan ay
000058,6,RB.* DT.* NN.* NN.* LM JJ.*,RBQ DTC NNC NNC LM JJD,ano ang kapaligiran kadahilanan ay partikular,ano ang kapaligiran kadahilanan ay partikular
000059,6,DT.* NN.* NN.* LM JJ.* CC.*,DTC NNC NNC LM JJD CCP,ang kapaligiran kadahilanan ay partikular na,ang kapaligiran kadahilanan ay partikular na
000060,6,NN.* NN.* LM JJ.* CC.* JJ.*,NNC NNC LM JJD CCP JJD,kapaligiran kadahilanan ay partikular na mahalaga,kapaligiran kadahilanan ay partikular na mahalaga
000061,6,NN.* LM JJ.* CC.* JJ.* CC.*,NNC LM JJD CCP JJD CCT,kadahilanan ay partikular na mahalaga para,kadahilanan ay partikular na mahalaga para
000062,6,LM JJ.* CC.* JJ.* CC.* CC.*,LM JJD CCP JJD CCT CCT,ay partikular na mahalaga para sa,ay partikular na mahalaga para sa
000063,6,JJ.* CC.* JJ.* CC.* CC.* NN.*,JJD CCP JJD CCT CCT NNC,partikular na mahalaga para sa buhay,partikular na mahalaga para sa buhay
000064,6,CC.* JJ.* CC.* CC.* NN.* CC.*,CCP JJD CCT CCT NNC CCB,na mahalaga para sa buhay ng,na mahalaga para sa buhay ng
000065,6,JJ.* CC.* CC.* NN.* CC.* DT.*,JJD CCT CCT NNC CCB DTCP,mahalaga para sa buhay ng mga,mahalaga para sa buhay ng mga
