Sentences,General_POS_Tagged,Detailed_POS_Tagged,Lemmatized
wala ako sa katinuan ngayon kasi para akong nakawalang sa hawla.,VB.* PR.* CC.* NN.* RB.* CC.* CC.* PR.* VB.* CC.* NN.* PM.*,VBN PRS CCT NNC RBW CCR CCT PRS_CCP VBTS CCT NNC PMP,wala ako sa tuan gayon kasi para ako wala sa hawla
Kung ano ang kapaligiran kadahilanan ay partikular na mahalaga para sa buhay ng mga parasito aalala tungkol sa mga uod sa gabi,RB.* RB.* DT.* NN.* NN.* LM JJ.* CC.* JJ.* CC.* CC.* NN.* CC.* DT.* NN.* VB.* RB.* CC.* DT.* NN.* CC.* RB.* PM.*,RBK RBQ DTC NNC NNC LM JJD CCP JJD CCT CCT NNC CCB DTCP NNC VBTR RBR CCT DTCP NNC CCT RBW PMC,kung ano ang ligid dahil ay tikulad na halaga para sa buhay ng mga rasito alala tungkol sa mga uod sa gabi
kaysa upang dalhin ang mga uod sa isang buntis na babae gamot sa atay parasitiko.,JJ.* CC.* VB.* DT.* DT.* NN.* CC.* PR.* NN.* CC.* NN.* NN.* CC.* NN.* NN.* PM.*,JJC CCB VBOF DTC DTCP NNC CCT PRI_CCP NNC CCP NNC NNC CCT NNC NNC PMP,kaysa upa dalhin ang mga uod sa isa buntis na babae gamot sa atay rasitiko
bulating parasito atay sugat na pumapatay ng mga parasito sa loob ng tao.,NN.* JJ.* NN.* NN.* CC.* VB.* CC.* DT.* NN.* CC.* NN.* CC.* NN.* PM.*,NNC_CCP JJD NNC NNC CCP VBTR_VBAF CCB DTCP NNC CCT NNC CCB NNC PMP,bulating rasito atay sugat na patay ng mga rasito sa loob ng tao
Kung paano makilala ang mga uod sa mga matatanda pagsubok para sa presensiya ng mga parasito,RB.* RB.* VB.* DT.* DT.* NN.* CC.* DT.* NN.* NN.* CC.* CC.* NN.* CC.* DT.* NN.* PM.*,RBK RBQ VBW DTC DTCP NNC CCT DTCP NNC NNC CCT CCT NNC CCB DTCP NNC PMC,kung paano kilala ang mga uod sa mga tanda subok para sa presensiya ng mga rasito
lalo pag isa lang ang ginagawa,JJ.* CC.* PR.* RB.* DT.* VB.*,JJCC CCR PRI RBI DTC VBTR,lalo pag isa lang ang gawa
Di kasi talaga matuto ang karamihan ng Pilipino na bumoto ng karapat dapat na mamuno kahit man lang sa kanilang baranggay.,RB.* CC.* RB.* VB.* DT.* PR.* CC.* NN.* CC.* VB.* CC.* JJ.* VB.* CC.* VB.* CC.* RB.* RB.* CC.* PR.* NN.* PM.*,RBF CCR RBT VBW DTC PRI CCB NNP CCP VBAF CCB JJN VBS CCP VBW CCT RBI RBI CCT PRSP_CCP NNC PMP,di kasi talaga tuto ang rami ng Pilipino na boto ng rapat dapat na muno kahit man lang sa nila baranggay
Pero ang kawawang simpleng empleyado,CC.* DT.* NN.* JJ.* NN.* PM.*,CCT DTC NNC_CCP JJD_CCP NNC PMC,pero ang wang simple empleyado
ang pag-kakahiwahiwalay ng mga pulo ay nakakapang pahina ng ating,DT.* VB.* CC.* DT.* NN.* LM LM VB.* NN.* CC.* PR.*,DTC VBW CCB DTCP NNC LM LM VBTR NNC CCB PRSP_CCP,ang hiwahiwalay ng mga pulo ay kapa hina ng atin
mahihirapan tayong mag tipon tipon dahil hiwahiwalay nga ang mga,VB.* PR.* VB.* FW FW CC.* VB.* RB.* DT.* DT.*,VBTF PRP_CCP VBW FW FW CCR VBTR RBI DTC DTCP,mahihirapan tayo mag tipon tipon dahil hiwahiwalay nga ang mga
