Pattern_ID,Final_Hybrid_N-Gram
200001,DT.* JJ.*
200002,JJ.* NN.*
200003,DTC JJCS_JJD_CCP
200004,JJCS_JJD_CCP NNC
200001,PR.* NN.*_PM.*
200002,JJ.* NN.*_PM.*
200003,NN.* PR.*_PM.*
200004,RB.* NN.*_PM.*
200005,PR.* VB.*_PM.*
200006,VB.* NN.*_PM.*
200007,JJ.* NN.*
200008,PRSP_CCP NNC_PMP
200009,JJD_CCP NNC_PMC
200010,NNC_CCP PRO_PMP
200011,NNC_CCP PRO_PMQ
200012,VBTS_CCP NNC_PMP
200013,PRI_CCP NNC_PMP
200014,VBN_CCP NNC_PMP
200015,JJCS_JJD_CCP NNC
200016,JJD_CCP NNC_PMP
200017,JJ.* NNC_PMC
200018,JJ.* NNC_PMP
300001,PR.* VB.* CC.*
300002,VB.* CC.* NN.*_PM.*
300003,NN.* CC.* PR.*
300004,CC.* PR.* NN.*
300005,NN.* CC.* VB.*
300006,CC.* VB.* CC.*
300007,VB.* CC.* DT.*
300008,CC.* DT.* NN.*_PM.*
300009,RB.* CC.* PR.*
300010,CC.* PR.* NN.*_PM.*
300011,CC.* DT.* NN.*
300012,DT.* NN.* JJ.*
300013,VB.* PR.* VB.*
300014,PR.* DT.* NN.*
300015,VB.* CC.* NN.*
300016,LM RB.* VB.*
300017,RB.* VB.* CC.*
300018,VB.* CC.* PR.*_PM.*
300019,RB.* CC.* PR.*_PM.*
300020,VB.* RB.* NN.*
300021,CC.* NN.* PR.*_PM.*
300022,NN.* RB.* NN.*_PM.*
300023,JJ.* CC.* NN.*_PM.*
300024,JJ.* NN.* PR.*
300025,NN.* PR.* VB.*
300026,VB.* CC.* PR.*
300027,CC.* PR.* DT.*
300028,PR.* DT.* NN.*_PM.*
300029,PR.* VB.* DT.*
300030,PR.* VB.* PR.*_PM.*
300031,RB.* PR.* VB.*_PM.*
300032,CC.* RB.* RB.*_PM.*
300033,DT.* VB.* PR.*_PM.*
300034,VB.* CC.* JJ.*
300035,JJ.* DT.* NN.*_PM.*
300036,NN.* VB.* RB.*
300037,RB.* JJ.* NN.*
300038,VB.* DT.* NN.*
300039,DT.* NN.* PR.*_PM.*
300040,NN.* DT.* NN.*_PM.*
300041,RB.* CC.* VB.*_PM.*
300042,PR.* PR.* NN.*
300043,VB.* DT.* PR.*
300044,DT.* PR.* NN.*
300045,PR.* NN.* DT.*
300046,PR.* CC.* NN.*_PM.*
300047,CC.* VB.* PR.*_PM.*
300048,PR.* VB.* NN.*_PM.*
300049,VB.* PR.* PR.*
300050,PR.* NN.* CC.*
300051,RB.* VB.* DT.*
300052,PR.* RB.* VB.*
300053,JJ.* NN.* DT.*
300054,DT.* RB.* VB.*
300055,DT.* PR.* NN.*_PM.*
300056,DT.* NN.* NN.*_PM.*
300057,VB.* RB.* PR.*
300058,JJ.* DT.* NN.*
300059,PR.* JJ.* CC.*
300060,DT.* PR.* DT.*
300061,DT.* NN.* VB.*
300062,NN.* PR.* DT.*
300063,DT.* NN.* PR.*
300064,PR.* CC.* PR.*
300065,CC.* VB.* NN.*_PM.*
300066,VB.* RB.* RB.*
300067,CC.* DT.* JJ.*
300068,DT.* DT.* PR.*_PM.*
300069,CC.* NN.* PM.*
300070,JJ.* DT.* PR.*
300071,DT.* DT.* NN.*
300072,DT.* NN.* PM.*
300073,DT.* JJ.* CC.*
300074,JJ.* CC.* NN.*
300075,CC.* VB.* PR.*
300076,NN.* VB.* PR.*
300077,CC.* PR.* JJ.*
300078,JJ.* PM.* JJ.*
300079,JJ.* NN.* CC.*
300080,FW CC.* VB.*
300081,CC.* JJ.* VB.*
300082,JJ.* VB.* CC.*
300083,NN.* CC.* JJ.*
300084,NN.* LM RB.*
300085,PR.* JJ.* NN.*
300086,RB.* PR.* VB.*
300087,VB.* PR.* CC.*
300088,NN.* DT.* PR.*
300089,DT.* JJ.* NN.*_PM.*
300090,VB.* PR.* DT.*
300091,VB.* DT.* JJ.*
300092,JJ.* CC.* VB.*
300093,CC.* JJ.* NN.*_PM.*
300094,RB.* DT.* PR.*
300095,DT.* PR.* VB.*_PM.*
300096,VB.* NN.* CC.*
300097,DT.* VB.* NN.*
300098,DT.* DT.* VB.*
300099,CC.* JJ.* NN.*
300100,VB.* NN.* RB.*
300101,NNC CCT PRI_CCP
300102,CCT PRI_CCP NNC
300103,CCP VBTR_VBAF CCB
300104,CCB DTCP NNC_PMC
300105,CCT PRSP_CCP NNC_PMP
300106,CCT DTC NNC_CCP
300107,VBW CCB PRI_PMP
300108,RBR CCT PRSP_PMC
300109,CCT RBT RBI_PMC
300110,VBW CCB JJD_CCP
300111,PRI_CCP DTCP NNC
300112,PRI PRO_CCP NNC
300113,JJD CCP NNC_PMC
300114,CCT DTCP NNC_PMP
300115,RBT_CCP VBW CCB
300116,JJD_CCP NNC DTC
300117,DTC RBT_CCP VBW
300118,DTC PRSP_CCP NNC_PMP
300119,PRQ_CCP DTCP NNC
300120,DTC NNC PRP_CCP
300121,CCT PRI_CCP NNC_PMP
300122,VBW CCT PRI_CCP
300123,PRS CCB NNP_PMC
300124,VBS PRS_CCP VBAF
300125,PRS_CCP VBAF CCB
300126,NNC CCB VBN_CCP
300127,CCB VBN_CCP NNC_PMP
300128,CCT DTCP JJD_CCP
300129,VBOF DTC PRI_CCP
300130,DTC PRI_CCP NNC
300131,PRI_CCP NNC CCT
300132,CCB NNC_CCP PMS
300133,DTC DTCP NNC_CCP
300134,DTCP NNC_CCP PMS
300135,DTC JJCS_JJD CCP
300136,JJCS_JJD CCP NNC
300137,CCT DTCP NNC_CCP
300138,VBH PRS_CCP PRI_CCP
300139,PRS_CCP PRI_CCP NNC
300140,NNC CCT PRSP_CCP
300141,CCT PRSP_CCP DTCP
300142,PRSP_CCP DTCP NNC
300143,CCT PRI_CCP JJD
300144,JJCS PMS JJD_CCP
300145,JJCS_JJD_CCP NNC CCB
300146,CCB PRSP_CCP NNC_PMP
300147,NNC CCB JJD_CCP
300148,CCB PRI_CCP NNC
300149,VBW DTC JJCS_JJD
300150,JJCS_JJD CCP VBAF
300151,VBAF CCP NNC_PMC
300152,VBW CCB PRI_CCP
300153,PRI_CCP JJD_CCP NNC
300154,CCB DTCP NNC_PMP
300155,CCB PRSP_CCP DTCP
300156,VBH PRO_CCP DTCP
300157,PRO_CCP DTCP NNC
300158,CCB JJD_CCP NNC
300159,JJD_CCP NNC CCT
300160,PRSP_CCP JJD_CCP NNC
300161,NNC DTC PRSP_CCP
300162,JJD CCP NNC_PMP
300163,NN.* CCT PRI_CCP
300164,CC.* PR.* NNC
300165,CC.* VB.* CCB
300166,CC.* DT.* NNC_PMC
300167,CC.* PR.* NNC_PMP
300168,CC.* DT.* NNC_CCP
300169,VB.* CCB PRI_PMP
300170,RB.* CCT PR.*_PM.*
300171,CC.* RBT RB.*_PM.*
300172,VB.* CCB JJD_CCP
300173,PR.* PR.* NNC
300174,JJ.* CCP NNC_PMC
300175,CC.* DT.* NNC_PMP
300176,RB.* VB.* CCB
300177,JJ.* NNC DTC
300178,DT.* RB.* VBW
300179,DT.* PRSP_CCP NN.*_PM.*
300180,DT.* NNC PRP_CCP
300181,PR.* CC.* NNP_PMC
300182,VB.* PRS_CCP VBAF
300183,PR.* VB.* CCB
300184,NN.* CC.* VBN_CCP
300185,CC.* DTCP JJD_CCP
300186,DT.* PRI_CCP NNC
300187,PR.* NNC CCT
300188,CC.* NN.* PMS
300189,DT.* DT.* NNC_CCP
300190,DT.* NNC_CCP PMS
300192,VB.* PRS_CCP PRI_CCP
300193,PR.* PRI_CCP NNC
300194,NN.* CC.* PRSP_CCP
300195,CC.* PR.* DTCP
300196,CC.* PRI_CCP JJD
300198,NN.* CCB JJD_CCP
300201,VB.* PRO_CCP DTCP
300202,CC.* JJ.* NNC
300203,JJ.* NNC CCT
300204,PR.* JJD_CCP NNC
400001,VB.* PR.* CC.* NN.*
400002,PR.* CC.* NN.* RB.*
400003,CC.* NN.* RB.* CC.*
400004,CC.* PR.* VB.* CC.*
400005,RB.* RB.* DT.* NN.*
400006,CC.* NN.* CC.* DT.*
400007,CC.* DT.* NN.* VB.*
400008,DT.* NN.* VB.* RB.*
400009,NN.* VB.* RB.* CC.*
400010,VB.* RB.* CC.* DT.*
400011,RB.* CC.* DT.* NN.*
400012,JJ.* CC.* VB.* DT.*
400013,CC.* VB.* DT.* DT.*
400014,VB.* DT.* DT.* NN.*
400015,DT.* DT.* NN.* CC.*
400016,DT.* NN.* CC.* PR.*
400017,NN.* CC.* PR.* NN.*
400018,CC.* PR.* NN.* CC.*
400019,NN.* NN.* CC.* VB.*
400020,NN.* CC.* VB.* CC.*
400021,CC.* VB.* CC.* DT.*
400022,VB.* CC.* DT.* NN.*
400023,CC.* DT.* NN.* CC.*
400024,RB.* RB.* VB.* DT.*
400025,RB.* VB.* DT.* DT.*
400026,NN.* CC.* DT.* NN.*_PM.*
400027,CC.* PR.* RB.* DT.*
400028,RB.* CC.* RB.* VB.*
400029,CC.* RB.* VB.* DT.*
400030,RB.* VB.* DT.* PR.*
400031,VB.* DT.* PR.* CC.*
400032,PR.* CC.* NN.* CC.*
400033,CC.* NN.* CC.* VB.*
400034,CC.* VB.* CC.* JJ.*
400035,VB.* CC.* JJ.* VB.*
400036,CC.* JJ.* VB.* CC.*
