General POS,Detailed POS
NN.* PM.*,NNP PMP
NN.* PM.*,NNP PMC
VB.* DT.* NN.* CC.* NN.* CC.* CD.* PM.* CD.* CC.* NN.* CC.* NN.* CC.* VB.* RB.* DT.* NN.* CC.* JJ.* RB.* VB.* DT.* NN.* PM.*,VBTS DTC NNP CCT NNC CCP CDB PMS CDB CCT NNC CCB NNC CCT VBAF RBI DTC NNP CCT JJD RBW VBW DTC NNC PMP
CC.* CC.* CC.* NN.* CC.* JJ.*_CC.* NN.* CC.* NN.* PM.*,CCT CCT CCB NNC CCT JJN_CCP NNC CCB NNC PMC
RB.* VB.* DT.* NN.* CC.* DT.* NN.* NN.* LM RB.*_CC.* VB.* CC.* JJ.* PM.* CD.* NN.* PM.*,RBF VBAF DTC NNP CCA DTP NNP NNP LM RBD_CCP VBW CCT JJN PMS CDB NNC PMC
CC.* PR.* RB.* DT.* JJ.*_CC.* RB.* CC.* NN.* CC.* NN.* PM.*,CCA PRS RBI DTC JJD_CCP RBD CCB NNC CCT NNC PMP
CC.* PM.*,CCB PMC
DT.* NN.* NN.* DT.* VB.* CC.* VB.* CC.* NN.* CC.* JJ.* PM.* JJ.* CC.* NN.* CC.* NN.* PM.*,DTP NNP NNP DTC VBTS CCP VBW CCT NNP CCT JJN PMS JJN CCP NNC CCB NNC PMP
RB.* VB.* DT.* NN.* CC.* NN.* RB.* DT.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM VB.* CC.* JJ.*_CC.* NN.* CC.* VB.* DT.* PR.*_CC.* RB.* PM.*,RBF VBTS DTC NNC CCB NNP RBW DTC NNC CCB NNC CCT DTP NNP NNP LM VBAF CCB JJN_CCP NNC CCT VBW DTC PRSP_CCP RBI PMP
VB.* CC.* NN.* DT.* NN.* CC.* NN.* CC.* CD.* PM.* CD.* CC.* NN.*_CC.* NN.* RB.*_CC.* CD.* CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* FW NN.* PM.*,VBTS CCB NNP DTC NNP CCT NNC CCP CDB PMS CDB CCT NNP_CCP NNP RBW_CCP CDB CCT JJD_CCP NNC CCB NNP CCT NNP FW NNP PMC
CC.* VB.* CC.* DT.* NN.* RB.* DT.* NN.* NN.* CC.* PR.*_CC.* JJ.* RB.* DT.* NN.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* PM.*,CCP VBOF CCB DTCP NNC RBL DTP NNP NNP CCA PRI_CCP JJN RBW DTP NNP NNP CCP VBTS CCT NNC CCB NNP PMP
DT.* NN.* LM VB.* CC.* PR.*_CC.* RB.*_CC.* PM.* CD.* CC.* NN.* CC.* NN.* PM.*,DTP NNP LM VBTS CCT PRSP_CCP RBI_CCP PMS CDB CCP NNC CCT NNC PMC
VB.*_VB.* CC.* NN.* DT.* PR.*_CC.* JJ.* CC.* NN.* CC.* VB.*_VB.*_CC.* NN.* RB.*_CC.* JJ.* PM.* CD.* CC.* NN.* PM.*,VBTS_VBOF CCB NNP DTC PRI_CCP JJD CCP NNC CCT VBTR_VBAF_CCP NNP RBW_CCP JJN PMS CDB CCB NNP PMP
RB.* NN.* CC.* NN.* DT.* NN.* CC.* VB.*_CC.* NN.* PM.*,RBL NNC CCB NNC DTC NNP CCP VBN_CCP NNC PMC
VB.* CC.* NN.* DT.* NN.* NN.* CC.* VB.* NN.* CC.* CD.* PM.*,VBTS CCT NNC DTC NNP NNP CCP VBH NNC CCP CDB PMC
RB.*_CC.* JJ.*_CC.* NN.* CC.* NN.*_CC.* NN.* CC.* VB.* NN.* CC.* JJ.* PM.*,RBW_CCP JJN_CCP NNC CCT NNP_CCP NNP CCP VBH NNC CCP JJN PMC
CC.* JJ.* JJ.* CC.* NN.* RB.* PR.*_CC.* NN.* PM.*,CCP JJCC JJD CCT NNP RBW PRQ_CCP NNC PMP
JJ.* DT.* NN.* CC.* VB.* PR.*_CC.* NN.* PM.*,JJD DTC NNP CCP VBH PRI_CCP NNC PMP
CC.* NN.* PM.*,CCT NNPA PMP
DT.* DT.* NN.* LM VB.* CC.* NN.* FW NN.* PM.*,DTC DTCP NNC LM VBOF CCB NNPA FW NNP PMC
PR.*_CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,PRI_CCP JJD_CCP NNC CCT NNC CCB NNC CCB NNC CCB NNPA PMP
DT.* PR.*_CC.* JJ.* CC.* NN.* CC.* CD.* NN.*_CC.* NN.*_CC.* VB.* CC.* NN.* CC.* VB.* PM.* FW CC.* PM.* VB.* CC.* NN.* PM.* CC.* VB.* CC.* PR.*_CC.* FW CC.* NN.* LM VB.* CC.* NN.* PM.*,DTC PRQ_CCP JJD CCP NNC CCB CDB NNC_CCP NNP_CCP VBTR CCB NNC CCP VBTS PMS FW CCT PMS VBW CCB NNC PMS CCP VBTR CCB PRSP_CCP FW CCB NNC LM VBTS CCT NNP PMC
DT.* NN.* NN.* LM VB.* CC.* VB.*_CC.* NN.*_CC.* FW PM.* NN.* DT.* RB.* NN.* DT.* VB.*_CC.* NN.* PM.*,DTP NNP NNP LM VBTS CCP VBN_CCP NNC_CCP FW PMS NNC DTC RBL NNC DTC VBTR_CCP NNC PMC
PR.* DT.* JJ.*_CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* CD.* NN.*_CC.* NN.* LM VB.* CC.* NN.* NN.* RB.*_CC.* NN.* PM.*,PRO DTC JJN_CCP JJD_CCP NNC CCB NNC CCT NNPA CCR DTC NNC CCT CDB NNC_CCP NNC LM VBTS CCB NNPA NNP RBW_CCP NNP PMP
DT.* DT.* NN.* CC.* NN.* CC.* DT.* NN.* PM.*,DTP DTCP NNC CCB NNC CCB DTCP NNC PMP
CC.* DT.* NN.* NN.* PM.*,CCP DTP NNP NNP PMC
CC.* PR.*_CC.* NN.* CC.* NN.* PM.*,CCT PRSP_CCP NNC CCT NNPA PMC
CD.* NN.* JJ.* PM.*,CDB NNPA JJD PMP
CC.* NN.* FW NN.* CC.*,CCT NNP FW NNP CCT
VB.* PR.* CC.* VB.* CC.* DT.* DT.* NN.* JJ.* PM.*,VBTS PRS CCP VBTS CCP DTC DTCP NNC JJD PMC
DT.* DT.* JJ.*_CC.* NN.*_CC.* NN.* CC.* NN.* DT.* VB.* CC.* VB.* RB.* CC.* JJ.*_CC.* JJ.* CC.* NN.* PR.*_CC.* NN.* PM.*,DTC DTCP JJD_CCP NNC_CCP NNC CCT NNPA DTC VBTS CCP VBTR RBR CCT JJC_CCP JJD CCP NNC PRO_CCP NNC PMC
DT.* NN.* LM VB.* CC.* FW FW CC.* NN.* PM.* NN.* CC.* NN.* NN.* NN.* NN.* PM.*,DTC NNC LM VBTS CCT FW FW CCP NNC PMS NNC CCB NNP NNP NNP NNP PMC
NN.* NN.* PM.*,NNP NNP PMC
