Pattern_ID,RoughPOS_N-Gram,RPOSN_Freq,DetailedPOS_N-Gram,DPOSN_Freq,Comparison_Replacement_Matrix,POS_N-Gram
600001,VB.* CC.* NN.* DT.* NN.* CC.*,,,,,VB.* CC.* NN.* DT.* NN.* CC.*
600002,CC.* NN.* DT.* NN.* CC.* NN.*,,,,,CC.* NN.* DT.* NN.* CC.* NN.*
600003,NN.* DT.* NN.* CC.* NN.* CC.*,,,,,NN.* DT.* NN.* CC.* NN.* CC.*
600004,DT.* NN.* CC.* NN.* CC.* CD.*,,,,,DT.* NN.* CC.* NN.* CC.* CD.*
600005,NN.* CC.* NN.* CC.* CD.* PM.*,,,,,NN.* CC.* NN.* CC.* CD.* PM.*
600006,CC.* NN.* CC.* CD.* PM.* CD.*,,,,,CC.* NN.* CC.* CD.* PM.* CD.*
600007,NN.* CC.* CD.* PM.* CD.* CC.*,,,,,NN.* CC.* CD.* PM.* CD.* CC.*
600008,CC.* CD.* PM.* CD.* CC.* NN.*,,,,,CC.* CD.* PM.* CD.* CC.* NN.*
600009,CD.* PM.* CD.* CC.* NN.* NN.*,,,,,CD.* PM.* CD.* CC.* NN.* NN.*
600010,CC.* NN.* NN.* RB.* CD.* CC.*,,,,,CC.* NN.* NN.* RB.* CD.* CC.*
600011,CD.* CC.* JJ.* NN.* CC.* NN.*,,,,,CD.* CC.* JJ.* NN.* CC.* NN.*
600012,CC.* JJ.* NN.* CC.* NN.* CC.*,,,,,CC.* JJ.* NN.* CC.* NN.* CC.*
600013,JJ.* NN.* CC.* NN.* CC.* NN.*,,,,,JJ.* NN.* CC.* NN.* CC.* NN.*
600014,DT.* NN.* NN.* DT.* VB.* CC.*,,,,,DT.* NN.* NN.* DT.* VB.* CC.*
600015,NN.* NN.* DT.* VB.* CC.* VB.*,,,,,NN.* NN.* DT.* VB.* CC.* VB.*
600016,NN.* DT.* VB.* CC.* VB.* CC.*,,,,,NN.* DT.* VB.* CC.* VB.* CC.*
600017,DT.* VB.* CC.* VB.* CC.* NN.*,,,,,DT.* VB.* CC.* VB.* CC.* NN.*
600018,VB.* CC.* VB.* CC.* NN.* CC.*,,,,,VB.* CC.* VB.* CC.* NN.* CC.*
600019,CC.* VB.* CC.* NN.* CC.* JJ.*,,,,,CC.* VB.* CC.* NN.* CC.* JJ.*
600020,VB.* CC.* NN.* CC.* JJ.* PM.*,,,,,VB.* CC.* NN.* CC.* JJ.* PM.*
600021,CC.* NN.* CC.* JJ.* PM.* JJ.*,,,,,CC.* NN.* CC.* JJ.* PM.* JJ.*
600022,NN.* CC.* JJ.* PM.* JJ.* CC.*,,,,,NN.* CC.* JJ.* PM.* JJ.* CC.*
600023,CC.* JJ.* PM.* JJ.* CC.* NN.*,,,,,CC.* JJ.* PM.* JJ.* CC.* NN.*
600024,CC.* CC.* CC.* NN.* CC.* JJ.*,,,,,CC.* CC.* CC.* NN.* CC.* JJ.*
600025,CC.* CC.* NN.* CC.* JJ.* NN.*,,,,,CC.* CC.* NN.* CC.* JJ.* NN.*
600026,CC.* NN.* CC.* JJ.* NN.* CC.*,,,,,CC.* NN.* CC.* JJ.* NN.* CC.*
600027,NN.* CC.* JJ.* NN.* CC.* NN.*_PM.*,,,,,NN.* CC.* JJ.* NN.* CC.* NN.*_PM.*
600028,RB.* VB.* DT.* NN.* CC.* NN.*,,,,,RB.* VB.* DT.* NN.* CC.* NN.*
600029,VB.* DT.* NN.* CC.* NN.* RB.*,,,,,VB.* DT.* NN.* CC.* NN.* RB.*
600030,DT.* NN.* CC.* NN.* RB.* DT.*,,,,,DT.* NN.* CC.* NN.* RB.* DT.*
600031,NN.* CC.* NN.* RB.* DT.* NN.*,,,,,NN.* CC.* NN.* RB.* DT.* NN.*
600032,CC.* NN.* RB.* DT.* NN.* CC.*,,,,,CC.* NN.* RB.* DT.* NN.* CC.*
600033,NN.* RB.* DT.* NN.* CC.* NN.*,,,,,NN.* RB.* DT.* NN.* CC.* NN.*
600034,RB.* DT.* NN.* CC.* NN.* CC.*,,,,,RB.* DT.* NN.* CC.* NN.* CC.*
600035,DT.* NN.* CC.* NN.* CC.* DT.*,,,,,DT.* NN.* CC.* NN.* CC.* DT.*
600036,NN.* CC.* NN.* CC.* DT.* NN.*,,,,,NN.* CC.* NN.* CC.* DT.* NN.*
600037,CC.* NN.* CC.* DT.* NN.* NN.*,,,,,CC.* NN.* CC.* DT.* NN.* NN.*
600038,NN.* CC.* DT.* NN.* NN.* LM,,,,,NN.* CC.* DT.* NN.* NN.* LM
600039,CC.* DT.* NN.* NN.* LM VB.*,,,,,CC.* DT.* NN.* NN.* LM VB.*
600040,DT.* NN.* NN.* LM VB.* CC.*,,,,,DT.* NN.* NN.* LM VB.* CC.*
600041,NN.* NN.* LM VB.* CC.* JJ.*,,,,,NN.* NN.* LM VB.* CC.* JJ.*
600042,NN.* LM VB.* CC.* JJ.* NN.*,,,,,NN.* LM VB.* CC.* JJ.* NN.*
600043,LM VB.* CC.* JJ.* NN.* CC.*,,,,,LM VB.* CC.* JJ.* NN.* CC.*
600044,VB.* CC.* JJ.* NN.* CC.* VB.*,,,,,VB.* CC.* JJ.* NN.* CC.* VB.*
600045,CC.* JJ.* NN.* CC.* VB.* DT.*,,,,,CC.* JJ.* NN.* CC.* VB.* DT.*
600046,JJ.* NN.* CC.* VB.* DT.* PR.*,,,,,JJ.* NN.* CC.* VB.* DT.* PR.*
600047,RB.* VB.* DT.* NN.* CC.* DT.*,,,,,RB.* VB.* DT.* NN.* CC.* DT.*
600048,VB.* DT.* NN.* CC.* DT.* NN.*,,,,,VB.* DT.* NN.* CC.* DT.* NN.*
600049,DT.* NN.* CC.* DT.* NN.* NN.*,,,,,DT.* NN.* CC.* DT.* NN.* NN.*
600050,CC.* DT.* NN.* NN.* LM RB.*,,,,,CC.* DT.* NN.* NN.* LM RB.*
600051,DT.* NN.* NN.* LM RB.* VB.*,,,,,DT.* NN.* NN.* LM RB.* VB.*
600052,NN.* NN.* LM RB.* VB.* CC.*,,,,,NN.* NN.* LM RB.* VB.* CC.*
600053,NN.* LM RB.* VB.* CC.* JJ.*,,,,,NN.* LM RB.* VB.* CC.* JJ.*
600054,LM RB.* VB.* CC.* JJ.* PM.*,,,,,LM RB.* VB.* CC.* JJ.* PM.*
600055,DT.* JJ.* RB.* CC.* NN.* CC.*,,,,,DT.* JJ.* RB.* CC.* NN.* CC.*
600056,JJ.* RB.* CC.* NN.* CC.* NN.*_PM.*,,,,,JJ.* RB.* CC.* NN.* CC.* NN.*_PM.*
600057,VB.* DT.* NN.* CC.* NN.* CC.*,,,,,VB.* DT.* NN.* CC.* NN.* CC.*
600058,CD.* PM.* CD.* CC.* NN.* CC.*,,,,,CD.* PM.* CD.* CC.* NN.* CC.*
600059,PM.* CD.* CC.* NN.* CC.* NN.*,,,,,PM.* CD.* CC.* NN.* CC.* NN.*
600060,CD.* CC.* NN.* CC.* NN.* CC.*,,,,,CD.* CC.* NN.* CC.* NN.* CC.*
600061,CC.* NN.* CC.* NN.* CC.* VB.*,,,,,CC.* NN.* CC.* NN.* CC.* VB.*
600062,NN.* CC.* NN.* CC.* VB.* RB.*,,,,,NN.* CC.* NN.* CC.* VB.* RB.*
600063,CC.* NN.* CC.* VB.* RB.* DT.*,,,,,CC.* NN.* CC.* VB.* RB.* DT.*
600064,NN.* CC.* VB.* RB.* DT.* NN.*,,,,,NN.* CC.* VB.* RB.* DT.* NN.*
600065,CC.* VB.* RB.* DT.* NN.* CC.*,,,,,CC.* VB.* RB.* DT.* NN.* CC.*
600066,VB.* RB.* DT.* NN.* CC.* JJ.*,,,,,VB.* RB.* DT.* NN.* CC.* JJ.*
600067,RB.* DT.* NN.* CC.* JJ.* RB.*,,,,,RB.* DT.* NN.* CC.* JJ.* RB.*
600068,DT.* NN.* CC.* JJ.* RB.* VB.*,,,,,DT.* NN.* CC.* JJ.* RB.* VB.*
600069,DT.* NN.* LM VB.* CC.* PR.*,,,,,DT.* NN.* LM VB.* CC.* PR.*
600070,NN.* LM VB.* CC.* PR.* RB.*,,,,,NN.* LM VB.* CC.* PR.* RB.*
600071,LM VB.* CC.* PR.* RB.* PM.*,,,,,LM VB.* CC.* PR.* RB.* PM.*
600072,CC.* PR.* RB.* PM.* CD.* CC.*,,,,,CC.* PR.* RB.* PM.* CD.* CC.*
600073,PR.* RB.* PM.* CD.* CC.* NN.*,,,,,PR.* RB.* PM.* CD.* CC.* NN.*
600074,CC.* VB.* CC.* DT.* NN.* RB.*,,,,,CC.* VB.* CC.* DT.* NN.* RB.*
600075,VB.* CC.* DT.* NN.* RB.* DT.*,,,,,VB.* CC.* DT.* NN.* RB.* DT.*
600076,CC.* DT.* NN.* RB.* DT.* NN.*,,,,,CC.* DT.* NN.* RB.* DT.* NN.*
600077,DT.* NN.* RB.* DT.* NN.* NN.*,,,,,DT.* NN.* RB.* DT.* NN.* NN.*
600078,NN.* RB.* DT.* NN.* NN.* CC.*,,,,,NN.* RB.* DT.* NN.* NN.* CC.*
600079,RB.* DT.* NN.* NN.* CC.* PR.*,,,,,RB.* DT.* NN.* NN.* CC.* PR.*
600080,DT.* NN.* NN.* CC.* PR.* JJ.*,,,,,DT.* NN.* NN.* CC.* PR.* JJ.*
600081,RB.* DT.* NN.* NN.* CC.* VB.*,,,,,RB.* DT.* NN.* NN.* CC.* VB.*
600082,DT.* NN.* NN.* CC.* VB.* CC.*,,,,,DT.* NN.* NN.* CC.* VB.* CC.*
600083,NN.* NN.* CC.* VB.* CC.* NN.*,,,,,NN.* NN.* CC.* VB.* CC.* NN.*
600084,NN.* CC.* VB.* CC.* NN.* CC.*,,,,,NN.* CC.* VB.* CC.* NN.* CC.*
600085,CC.* VB.* CC.* NN.* CC.* NN.*_PM.*,,,,,CC.* VB.* CC.* NN.* CC.* NN.*_PM.*
600086,RB.* JJ.* NN.* CC.* NN.* NN.*,,,,,RB.* JJ.* NN.* CC.* NN.* NN.*
600087,JJ.* NN.* CC.* NN.* NN.* CC.*,,,,,JJ.* NN.* CC.* NN.* NN.* CC.*
600088,NN.* CC.* NN.* NN.* CC.* VB.*,,,,,NN.* CC.* NN.* NN.* CC.* VB.*
600089,CC.* NN.* NN.* CC.* VB.* NN.*,,,,,CC.* NN.* NN.* CC.* VB.* NN.*
600090,NN.* NN.* CC.* VB.* NN.* CC.*,,,,,NN.* NN.* CC.* VB.* NN.* CC.*
600091,NN.* CC.* VB.* NN.* CC.* JJ.*_PM.*,,,,,NN.* CC.* VB.* NN.* CC.* JJ.*_PM.*
600092,VB.* CC.* NN.* DT.* PR.* JJ.*,,,,,VB.* CC.* NN.* DT.* PR.* JJ.*
600093,CC.* NN.* DT.* PR.* JJ.* CC.*,,,,,CC.* NN.* DT.* PR.* JJ.* CC.*
600094,NN.* DT.* PR.* JJ.* CC.* NN.*,,,,,NN.* DT.* PR.* JJ.* CC.* NN.*
600095,DT.* PR.* JJ.* CC.* NN.* CC.*,,,,,DT.* PR.* JJ.* CC.* NN.* CC.*
600096,PR.* JJ.* CC.* NN.* CC.* VB.*,,,,,PR.* JJ.* CC.* NN.* CC.* VB.*
600097,JJ.* CC.* NN.* CC.* VB.* NN.*,,,,,JJ.* CC.* NN.* CC.* VB.* NN.*
600098,CC.* NN.* CC.* VB.* NN.* RB.*,,,,,CC.* NN.* CC.* VB.* NN.* RB.*
600099,VB.* CC.* NN.* DT.* NN.* NN.*,,,,,VB.* CC.* NN.* DT.* NN.* NN.*
600100,CC.* NN.* DT.* NN.* NN.* CC.*,,,,,CC.* NN.* DT.* NN.* NN.* CC.*
600101,NN.* DT.* NN.* NN.* CC.* VB.*,,,,,NN.* DT.* NN.* NN.* CC.* VB.*
600102,DT.* NN.* NN.* CC.* VB.* NN.*,,,,,DT.* NN.* NN.* CC.* VB.* NN.*
600103,NN.* CC.* VB.* NN.* CC.* CD.*_PM.*,,,,,NN.* CC.* VB.* NN.* CC.* CD.*_PM.*
600104,CC.* JJ.* JJ.* CC.* NN.* RB.*,,,,,CC.* JJ.* JJ.* CC.* NN.* RB.*
600105,RB.* NN.* CC.* NN.* DT.* NN.*,,,,,RB.* NN.* CC.* NN.* DT.* NN.*
600106,NN.* CC.* NN.* DT.* NN.* CC.*,,,,,NN.* CC.* NN.* DT.* NN.* CC.*
600107,CC.* NN.* DT.* NN.* CC.* VB.*,,,,,CC.* NN.* DT.* NN.* CC.* VB.*
600108,NN.* DT.* NN.* CC.* VB.* NN.*_PM.*,,,,,NN.* DT.* NN.* CC.* VB.* NN.*_PM.*
600109,JJ.* DT.* NN.* CC.* VB.* PR.*,,,,,JJ.* DT.* NN.* CC.* VB.* PR.*
600110,DT.* NN.* CC.* VB.* PR.* NN.*_PM.*,,,,,DT.* NN.* CC.* VB.* PR.* NN.*_PM.*
