CC.* VB.*::CCT VBTR_VBAF_CCP::200560
VB.* NN.*::VBTR_VBAF_CCP NNP::200561
PR.* NN.*_PM.*::PRQ_CCP NNC_PMP::200562
VB.* NN.*_PM.*::VBN_CCP NNC_PMC::200563
PR.* NN.*_PM.*::PRI_CCP NNC_PMP::200564
RB.* NN.*_PM.*::RBW_CCP NNP_PMP::200565
PR.* NN.*_PM.*::PRO_CCP NNC_PMC::200566
PR.* NN.*_PM.*::PRQ_CCP NNC_PMC::200567
JJ.* NN.*_PM.*::JJN_CCP NNC_PMC::200568
RB.* NN.*_PM.*::RBW_CCP NNP_PMC::200569
JJ.* NN.*_PM.*::JJN_CCP NNC_PMP::200570
VB.* RB.*::VBTR_VBAF RBW_CCP::200571
CC.* JJ.*::CCB JJCS_JJD_CCP::200572
JJ.* NN.*::JJCS_JJD_CCP NNC::200573
LM_PM.* VB.*::LM_PMS VBN_CCP::200574
VB.* NN.*_PM.*_PM.*::VBN_CCP NNC_PMP_PMS::200575
JJ.* NN.*_PM.*::JJD_CCP NNC_PMP::200576
RB.* NN.*_PM.*::RBW_CCP NNC_PMP::200577
VB.* NN.*_PM.*::VBN_CCP NNC_PMS::200578
JJ.* JJ.*::JJN_CCP JJCS_JJD_CCP::200579
PR.* VB.*_PM.*::PRSP_CCP VBTR_PMC::200580
PR.* NN.*_PM.*::PRI_CCP NNC_PMC::200581
JJ.* NN.*_PM.*::JJC_CCP NNC_PMC::200582
DT.* NN.*_PM.*_PM.*::DTCP NNC_PMP_PMS::200583
PR.* NN.*_PM.*::PRSP_CCP NNC_PMC::200584
JJ.* NN.*_PM.*::JJC_CCP NNC_PMP::200585
DT.* VB.*::DTCP VBTR_VBRF_CCP::200586
VB.* JJ.*::VBTR_VBRF_CCP JJD::200587
RB.* CD.*_PM.*::RBW_CCP CDB_PMP::200588
CC.* NN.*_PM.*_PM.*::CCP NNC_PMP_PMS::200589
NN.* CD.*_PM.*::NNC_CCP CDB_PMC::200590
NN.* VB.*::NNC_CCP VBTR_VBAF::200591
PR.* NN.*_PM.*::PRI_CCP NNC_PMS::200592
RB.* NN.*_PM.*::RBI_CCP NNC_PMP::200593
RB.* CD.*_PM.*::RBW_CCP CDB_PMC::200594
JJ.* NN.*_PM.*::JJD_CCP NNC_PMC::200595
CC.* NN.*_PM.*_PM.*::CCT NNP_PMP_PMS::200596
PR.* NN.*_PM.*::PRI_CCP NNP_PMC::200597
PR.* NN.*_PM.*::PRSP_CCP NNC_PMP::200598
DT.* JJ.*::DTCP JJCS_JJD_CCP::200599
VB.*_PM.* VB.*::VBTR_CCP_PMS VBTF::200600
CC.* NN.*_PM.*_PM.*::CCB NNC_PMP_PMS::200601
CC.* NN.*_PM.*_PM.*::CCT NNC_PMP_PMS::200602
PM.*_ RB.*::PMS_ RBD_CCP::200603
PR.* NN.*_PM.*::PRC_CCP NNC_PMP::200604
NN.* NN.*_PM.*::NNC_CCP NNP_PMP::200605
VB.* NN.*_PM.*::VBTR_CCP NNC_PMC::200606
NN.* CD.*_PM.*::NNC_CCP CDB_PMP::200607
RB.* JJ.*::RBL JJCS_JJD_CCP::200608
PR.* NN.*_PM.*::PRSP_CCP NNC_PMS::200609
PR.* JJ.*::PRI_CCP JJCS_JJD_CCP::200610
CC.* PR.*_PM.*_PM.*::CCT PRI_PMP_PMS::200611
NN.* PR.*_PM.*_PM.*::NNC_CCP PRO_PMP_PMS::200612
JJ.* VB.*_PM.*::JJD_CCP VBTS_PMP::200613
JJ.* FW_PM.*::JJD_CCP FW_PMC::200614
JJ.* JJ.*::JJN_CCP JJCS_JJD::200615
VB.* VB.*::VBTS_CCP VBTR_VBAF::200616
NN.* PR.*_PM.*::NNC_CCP PRO_PMP::200617
VB.* NN.*_PM.*::VBTS_CCP NNC_PMP::200618
JJ.* NN.*_PM.*::JJD_CCP NNP_PMP::200619
PR.* NN.*_PM.*::PRO_CCP NNC_PMP::200620
PR.* NN.*_PM.*::PRI_CCP NNC_PMSC::200621
CC.* NN.*_PM.*_PM.*::CCB NNP_PMP_PMS::200622
NN.* PR.*_PM.*::NNC_CCP PRO_PMC::200623
NN.* NN.*_PM.*::NNC_CCP NNP_PMC::200624
CC.* JJ.*::CCT JJCS_JJD_CCP::200625
RB.* VB.*::RBD_CCP VBTR_VBAF::200626
VB.*_PM.* DT.*::VBTR_CCP_PMS DTC::200627
PR.* NN.*_PM.*_PM.*::PRSP_CCP NNC_PMP_PMS::200628
RB.* JJ.*_PM.*_PM.*::RBF JJD_PMP_PMS::200629
