Pattern_ID,Hybrid_N-Gram,Frequency,Detailed_POS,Rough_POS,POS_Type
200546,JJN_CCP JJ.*,17.0,JJN_CCP .*,.* JJ.*,Mixed POS
200547,NNC_CCP PR.*_PM.*,92.0,NNC_CCP .*,.* PR.*_PM.*,Mixed POS
200548,JJC_CCP NN.*_PM.*,26.0,JJC_CCP .*,.* NN.*_PM.*,Mixed POS
200549,RBW_CCP NN.*_PM.*,243.0,RBW_CCP .*,.* NN.*_PM.*,Mixed POS
200550,PRQ_CCP NN.*_PM.*,45.0,PRQ_CCP .*,.* NN.*_PM.*,Mixed POS
200551,JJCS_JJD_CCP VB.*,15.0,JJCS_JJD_CCP .*,.* VB.*,Mixed POS
200552,NNC_CCP NN.*_PM.*,73.0,NNC_CCP .*,.* NN.*_PM.*,Mixed POS
200553,NNC_CCP VB.*_PM.*,38.0,NNC_CCP .*,.* VB.*_PM.*,Mixed POS
200554,VBTS_CCP NN.*_PM.*,88.0,VBTS_CCP .*,.* NN.*_PM.*,Mixed POS
200555,VBW_CCP NN.*_PM.*,9.0,VBW_CCP .*,.* NN.*_PM.*,Mixed POS
200556,CCB JJ.*,27.0,CCB .*,.* JJ.*,Mixed POS
200557,JJCS_JJD_CCP NN.*,189.0,JJCS_JJD_CCP .*,.* NN.*,Mixed POS
200558,CDB NN.*_PM.*_PM.*,3.0,CDB .*,.* NN.*_PM.*_PM.*,Mixed POS
200559,RBW_CCP CD.*_PM.*,173.0,RBW_CCP .*,.* CD.*_PM.*,Mixed POS
200560,NNC_CCP PR.*_PM.*_PM.*,12.0,NNC_CCP .*,.* PR.*_PM.*_PM.*,Mixed POS
200561,RBW_CCP NN.*_PM.*,243.0,RBW_CCP .*,.* NN.*_PM.*,Mixed POS
200562,JJD_CCP NN.*_PM.*_PM.*,37.0,JJD_CCP .*,.* NN.*_PM.*_PM.*,Mixed POS
200563,CCT NN.*_PM.*_PM.*,73.0,CCT .*,.* NN.*_PM.*_PM.*,Mixed POS
200564,NNC_CCP VB.*,67.0,NNC_CCP .*,.* VB.*,Mixed POS
200565,VBS_CCP VB.*_PM.*,7.0,VBS_CCP .*,.* VB.*_PM.*,Mixed POS
200566,RBI_CCP NN.*_PM.*,45.0,RBI_CCP .*,.* NN.*_PM.*,Mixed POS
200567,PRI_CCP NN.*_PM.*,301.0,PRI_CCP .*,.* NN.*_PM.*,Mixed POS
200568,VBN_CCP NN.*_PM.*,49.0,VBN_CCP .*,.* NN.*_PM.*,Mixed POS
200569,JJN_CCP NN.*_PM.*,205.0,JJN_CCP .*,.* NN.*_PM.*,Mixed POS
200570,RBW_CCP NN.*_PM.*,243.0,RBW_CCP .*,.* NN.*_PM.*,Mixed POS
200571,RBW_CCP NN.*_PM.*,243.0,RBW_CCP .*,.* NN.*_PM.*,Mixed POS
200572,CCB NN.*_PM.*_PM.*,93.0,CCB .*,.* NN.*_PM.*_PM.*,Mixed POS
