Pattern_ID,Hybrid_N-Gram,Frequency,Detailed_POS,Rough_POS,POS_Type
200001,JJ.* JJ.*,37.0,.* .*,JJ.* JJ.*,Only Rough POS
200002,JJ.* FW,1216.0,.* .*,JJ.* .*,Only Rough POS
200003,NN.* PR.*_PM.*,106.0,.* .*,NN.* PR.*_PM.*,Only Rough POS
200004,PR.* NN.*_PM.*,684.0,.* .*,PR.* NN.*_PM.*,Only Rough POS
200005,JJ.* NN.*_PM.*,846.0,.* .*,JJ.* NN.*_PM.*,Only Rough POS
200006,RB.* VB.*_PM.*_PM.*,13.0,.* .*,RB.* VB.*_PM.*_PM.*,Only Rough POS
200007,RB.* NN.*_PM.*,308.0,.* .*,RB.* NN.*_PM.*,Only Rough POS
200008,PR.* VB.*_PM.*,93.0,.* .*,PR.* VB.*_PM.*,Only Rough POS
200009,JJ.* VB.*,76.0,.* .*,JJ.* VB.*,Only Rough POS
200010,NN.* NN.*_PM.*,99.0,.* .*,NN.* NN.*_PM.*,Only Rough POS
200011,NN.* VB.*_PM.*,40.0,.* .*,NN.* VB.*_PM.*,Only Rough POS
200012,DT.* JJ.*,110.0,.* .*,DT.* JJ.*,Only Rough POS
200013,JJ.* NN.*,1035.0,.* .*,JJ.* NN.*,Only Rough POS
200014,VB.* NN.*_PM.*,199.0,.* .*,VB.* NN.*_PM.*,Only Rough POS
200015,CC.* JJ.*,105.0,.* .*,CC.* JJ.*,Only Rough POS
200016,CD.* NN.*_PM.*_PM.*,3.0,.* .*,CD.* NN.*_PM.*_PM.*,Only Rough POS
200017,RB.* CD.*_PM.*,178.0,.* .*,RB.* CD.*_PM.*,Only Rough POS
200018,NN.* PR.*_PM.*_PM.*,26.0,.* .*,NN.* PR.*_PM.*_PM.*,Only Rough POS
200019,JJ.* NN.*_PM.*_PM.*,46.0,.* .*,JJ.* NN.*_PM.*_PM.*,Only Rough POS
200020,CC.* NN.*_PM.*_PM.*,229.0,.* .*,CC.* NN.*_PM.*_PM.*,Only Rough POS
200021,NN.* VB.*,75.0,.* .*,NN.* VB.*,Only Rough POS
200022,VB.* VB.*_PM.*,32.0,.* .*,VB.* VB.*_PM.*,Only Rough POS
200023,DT.* NN.*_NN.*_PM.*,4.0,.* .*,DT.* NN.*_NN.*_PM.*,Only Rough POS
200024,CC.* VB.*_PM.*_PM.*,28.0,.* .*,CC.* VB.*_PM.*_PM.*,Only Rough POS
200025,CC.* VB.*,73.0,.* .*,CC.* VB.*,Only Rough POS
200026,PR.*_PM.* JJ.*,23.0,.* .*,PR.*_PM.* JJ.*,Only Rough POS
200027,LM VB.*_PM.*,381.0,.* .*,.* VB.*_PM.*,Only Rough POS
200028,JJ.* PR.*_PM.*,6.0,.* .*,JJ.* PR.*_PM.*,Only Rough POS
200029,JJ.* VB.*_PM.*,39.0,.* .*,JJ.* VB.*_PM.*,Only Rough POS
200030,DT.* NN.*_PM.*_PM.*,74.0,.* .*,DT.* NN.*_PM.*_PM.*,Only Rough POS
200031,PR.* JJ.*_PM.*,11.0,.* .*,PR.* JJ.*_PM.*,Only Rough POS
